31 0  69.4954 18
32 0  69.5289 18
33 0  69.9882 18
34 0  70.0142 18
35 0  70.0056 18
36 0  70.2897 18
37 0  70.2951 18
38 0  70.2772 18
39 0  70.2909 18
40 0  70.3048 18
41 0  70.3187 18
42 0  70.3057 18
43 0  70.3059 18
44 0  70.2996 18
45 0  70.2869 18
46 0  70.2692 18
47 0  70.2697 18
48 0  70.2164 18
49 0  70.2167 18
50 0  70.2144 18
51 0  70.2121 18
52 0  70.2056 18
53 0  70.2018 18
54 0  69.5912 18
55 0  69.6559 18
56 0  70.3487 18
57 0  70.3479 18
58 0  70.3225 18
59 0  70.3022 18
60 0  70.276 18
61 0  70.2497 18
62 0  70.2226 18
63 0  70.2121 18
64 0  70.3703 18
65 0  70.3308 18
66 0  70.3596 18
67 0  70.3681 18
68 0  70.3882 18
69 0  70.3855 18
70 0  70.3688 18
71 0  70.3522 18
72 0  70.2398 18
73 0  70.3215 18
74 0  70.276 18
75 0  70.2877 18
76 0  70.1723 18
77 9.20343  2793.9 18
78 7.79058  2816.53 18
79 -11.1055  2754.83 18
80 -10.7187  2775.78 18
81 -12.0988  2741.3 18
82 -9.70693  2804.02 18
83 -9.69211  2784.55 18
84 -7.93472  2826.38 18
85 -6.76212  2814.06 18
86 -9.06436  2792.55 18
87 -9.16796  2796.36 18
88 -7.87073  2813.67 18
89 -8.61153  2795.5 18
90 -8.42798  2796.09 18
91 -8.85929  2790.91 18
92 -7.43214  2823.41 18
93 -7.43989  2808.54 18
94 -8.55268  2767.52 18
95 -6.86983  2779.41 18
96 -8.87793  2718.2 18
97 -7.25398  2692.49 18
98 -8.42461  2527.05 18
99 -7.0974  2526.79 18
100 -8.51723  2500.82 18
101 -8.15213  2451.25 18
102 -6.68311  2273.95 18
103 5.87256  2042.23 18
104 -4.78194  1805.55 18
105 -6.20877  1561.12 18
106 4.33474  1412.8 18
107 2.96247  1349.8 18
108 5.13086  1332.39 18
109 -4.10264  1338.78 18
110 3.62455  1264.26 18
111 -3.24951  1126.26 18
112 -3.00338  1064.24 18
113 -3.64399  1049.37 18
114 -3.26609  1032.89 18
115 2.93543  1043.19 18
116 -3.38966  1037.78 18
117 -3.29287  1043.89 18
118 2.89833  1024.85 18
119 -3.45825  1020.25 18
120 -3.1807  1024.49 18
121 -2.95509  1024.51 18
122 2.76913  1036.2 18
123 2.42487  1048.46 18
124 3.09567  1047.13 18
125 -3.62101  1039.23 18
126 -2.76696  1057.41 18
127 -3.31834  1055.99 18
128 -3.56114  1048.68 18
129 2.57805  1057.04 18
130 4.02168  1057.34 18
131 2.97804  1060.6 18
132 -3.1475  1059.12 18
133 3.17321  1056.09 18
134 -3.28622  1024.06 18
135 -3.58202  1021.66 18
136 -3.24094  1019.12 18
137 3.88331  1013.26 18
138 3.26064  1011.75 18
139 -2.81125  998.84 18
140 -3.19131  1006.13 18
141 -3.62889  989.263 18
142 -2.56473  1006.79 18
143 3.82698  986.23 18
144 -3.30367  994.85 18
145 2.72791  980.786 18
146 -2.48216  984.132 18
147 -3.01214  973.414 18
148 2.84399  966.358 18
149 -3.12813  976.75 18
150 3.16798  978.935 18
151 2.72949  989 18
152 -3.51693  980.802 18
153 3.08146  968.084 18
154 3.59332  967.826 18
155 -2.90781  970.121 18
156 -2.92995  976.758 18
157 2.8839  970.582 18
158 -2.3643  973.685 18
159 2.70594  966.197 18
160 3.77356  959.324 18
161 -3.07161  953.509 18
162 2.27432  962.735 18
163 -2.90348  949.997 18
164 -2.43794  950.914 18
165 2.82985  951.805 18
166 2.22857  947.213 18
167 -2.46522  941.217 18
168 -2.7157  934.39 18
169 -2.52379  934.567 18
170 -2.35911  932.529 18
171 2.80939  929.244 18
172 -2.52609  931.845 18
173 3.26712  923.446 18
174 -3.3478  912.259 18
175 -3.41158  915.616 18
176 2.32277  944.52 18
177 2.86173  944.201 18
178 2.72329  944.753 18
179 3.02534  929.135 18
180 3.08075  923.567 18
181 -3.09567  917.658 18
182 -2.73852  912.998 18
183 -2.50661  919.308 18
184 2.77663  908.528 18
185 -2.89296  909.726 18
186 -2.77662  906.662 18
187 -2.61481  896.437 18
188 2.74452  893.048 18
189 2.73207  885.216 18
190 3.09496  885.815 18
191 -3.35452  878.171 18
192 2.92726  872.892 18
193 2.28937  878.794 18
194 -2.34218  877.327 18
195 3.31542  878.418 18
196 -2.81062  880.61 18
197 -3.03058  883.627 18
198 3.21082  884.744 18
199 2.91923  903.523 18
200 2.48424  906.802 18
201 2.58743  896.073 18
202 -2.64547  895.452 18
203 -2.39092  891.67 18
204 3.03947  893.887 18
205 3.04205  896.611 18
206 -3.00231  895.783 18
207 3.04587  893.213 18
208 -3.23883  891.295 18
209 2.66139  890.639 18
210 -2.60678  877.021 18
211 3.80912  864.346 18
212 2.96904  863.974 18
213 -2.98297  859.197 18
214 2.3109  862.657 18
215 -2.49111  857.522 18
216 -2.78748  857.982 18
217 -2.43558  856.423 18
218 2.51525  853.728 18
219 2.89963  847.989 18
220 -2.43966  846.582 18
221 2.54519  833.06 18
222 -2.2589  830.636 18
223 3.21392  825.737 18
224 -2.17029  833.11 18
225 -2.56519  836.359 18
226 2.69511  825.517 18
227 3.73257  823.709 18
228 -3.20898  833.845 18
229 4.03781  823.735 18
230 -3.65045  832.74 18
231 3.52898  843.301 18
232 2.52941  864.123 18
233 -2.52781  860.085 18
234 -3.61592  856.228 18
235 3.19285  860.758 18
236 -2.8511  863.502 18
237 2.99167  850.141 18
238 -2.63357  856.937 18
239 -2.821  865.063 18
240 2.30432  879.607 18
241 -2.07679  878.662 18
242 -2.78093  867.254 18
243 2.72222  870.421 18
244 2.49212  869.518 18
245 2.3195  875.444 18
246 -2.94505  875.151 18
247 -2.67155  878.225 18
248 -2.35442  887.731 18
249 -2.91631  887.418 18
250 2.6022  904.005 18
251 -2.44321  902.691 18
252 -2.25901  902.251 18
253 -3.4546  892.621 18
254 3.05949  896.289 18
255 3.33469  898.893 18
256 -2.80045  911.477 18
257 3.94234  914.471 18
258 -3.32795  919.335 18
259 -3.39398  928.078 18
260 -3.74159  914.505 18
261 -2.72916  912.905 18
262 3.42139  901.626 18
263 -2.68  914.841 18
264 -3.18824  925.578 18
265 2.91242  928.439 18
266 -2.46868  925.515 18
267 -2.895  926.42 18
268 -2.2722  927.01 18
269 2.77109  918.756 18
270 -3.26457  921.506 18
271 -2.97341  936.449 18
272 2.49375  935.382 18
273 2.87016  931.595 18
274 -3.01233  930.437 18
275 3.04869  922.218 18
276 3.56794  924.337 18
277 -2.93511  924.578 18
278 2.85686  929.436 18
279 2.65032  933.899 18
280 2.78164  945.38 18
281 -2.93651  944.111 18
282 3.04482  948.197 18
283 -3.4719  956.445 18
284 2.73499  976.427 18
285 -2.82562  980.758 18
286 -3.28823  964.419 18
287 -2.62806  962.803 18
288 2.92096  953.122 18
289 2.43075  954.792 18
290 2.81359  949.455 18
291 2.65375  952.926 18
292 -2.80113  949.802 18
293 -3.4059  925.434 18
294 -3.17187  934.828 18
295 -3.06697  933.853 18
296 -2.38734  931.171 18
297 -2.90199  928.152 18
298 2.83088  918.801 18
299 2.67113  916.792 18
300 3.39709  900.973 18
301 -3.06867  895.957 18
302 2.29146  900.901 18
303 -2.3089  907.69 18
304 -3.31566  897.404 18
305 -2.22013  900.283 18
306 -2.58333  889.487 18
307 3.92039  880.392 18
308 -2.5322  898.046 18
309 -2.5679  898.789 18
310 -3.00844  899.302 18
311 -2.6948  886.466 18
312 -2.72529  891.309 18
313 -2.93241  899.139 18
314 2.74267  902.817 18
315 -3.45837  891.73 18
316 -3.06456  891.04 18
317 2.77401  890.152 18
318 -2.59943  879.762 18
319 2.56773  879.176 18
320 2.65546  867.923 18
321 2.79382  861.661 18
322 3.13296  867.13 18
323 -3.08821  875.961 18
324 3.31987  862.843 18
325 -2.52844  858.51 18
326 -2.68632  866.985 18
327 -3.09279  861.746 18
328 3.00154  860.062 18
329 -2.19728  863.076 18
330 2.26791  866.335 18
331 2.41293  864.633 18
332 -2.80928  857.187 18
333 2.7052  868.799 18
334 2.6825  865.91 18
335 3.21077  864.918 18
336 -2.6451  868.95 18
337 -3.28016  875.925 18
338 2.35079  881.033 18
339 2.4886  874.18 18
340 -2.52319  879.442 18
341 2.47943  877.095 18
342 2.67369  899.001 18
343 2.36922  907.99 18
344 2.63755  899.722 18
345 -2.09521  889.261 18
346 2.93089  883.579 18
347 -3.41388  890.323 18
348 2.73588  895.224 18
349 -2.82408  907.443 18
350 2.90447  905.006 18
351 3.01762  906.927 18
352 -3.1208  899.379 18
353 3.67516  884.451 18
354 3.03879  891.551 18
355 -3.14165  890.973 18
356 2.58479  891.588 18
357 -3.27062  889.118 18
358 3.06063  888.531 18
359 -2.70752  891.062 18
360 -3.20139  881.247 18
361 2.75333  901.111 18
362 2.91124  900.928 18
363 -3.79909  894.855 18
364 -2.13455  901.518 18
365 2.50285  902.846 18
366 2.9612  904.328 18
367 -3.31931  906.743 18
368 2.41451  906.236 18
369 -3.2549  893.159 18
370 -2.93154  905.123 18
371 -2.52339  918.145 18
372 3.52629  929.27 18
373 -3.52405  924.221 18
374 3.50973  915.705 18
375 -2.8819  916.695 18
376 -2.39783  917.306 18
377 -3.85443  906.475 18
378 3.67013  920.648 18
379 -2.88682  923.268 18
380 -3.22651  921.977 18
381 3.02871  932.866 18
382 2.59151  929.434 18
383 3.43916  938.228 18
384 -2.82407  938.485 18
385 2.6047  938.155 18
386 -2.84516  930.384 18
387 3.23434  919.319 18
388 3.16526  914.382 18
389 2.52559  921.124 18
390 3.16008  917.945 18
391 -3.046  921.092 18
392 3.15659  924.506 18
393 -2.76147  924.525 18
394 3.39383  909.012 18
395 -2.83872  912.727 18
396 3.04058  910.869 18
397 -2.61019  905.504 18
398 -2.85759  902.587 18
399 -3.57973  907.457 18
400 2.60274  917.901 18
401 2.83938  915.048 18
402 2.98128  908.726 18
403 -3.43503  893.945 18
404 2.49871  891.82 18
405 3.01266  871.898 18
406 -2.27806  884.135 18
407 3.00092  876.849 18
408 -3.69986  867.889 18
409 3.58897  865.291 18
410 3.42076  847.938 18
411 -2.94591  857.749 18
412 2.80815  864.315 18
413 2.9818  864.553 18
414 2.26494  869.896 18
415 2.36902  866.459 18
416 2.32738  866.761 18
417 -2.69988  888.472 18
418 3.02015  883.346 18
419 -2.29419  894.606 18
420 -2.78509  904.677 18
421 2.96325  926.671 18
422 2.38393  927.402 18
423 2.33012  955.399 18
424 3.401  949.383 18
425 -2.84531  953.625 18
426 2.38363  964.282 18
427 -2.61606  962.123 18
428 -3.3646  956.932 18
429 2.56504  992.052 18
430 3.55056  1017.25 18
431 2.97653  1009.48 18
432 2.96007  1016.77 18
433 2.58506  1012.79 18
434 2.75333  1041.98 18
435 -2.23851  1056.52 18
436 2.36491  1057.47 18
437 -2.60293  1077.04 18
438 -2.58308  1084.04 18
439 2.74719  1085.19 18
440 -2.73155  1087.61 18
441 2.39201  1102.65 18
442 -2.71366  1086.89 18
443 2.4374  1090.88 18
444 2.73398  1076.09 18
445 -3.07659  1068.67 18
446 -2.66273  1078.41 18
447 2.50818  1083.3 18
448 -2.43895  1082.48 18
449 2.5035  1104.04 18
450 2.81374  1111.67 18
451 2.8542  1132.84 18
452 -2.88462  1168.36 18
453 2.6843  1193.19 18
454 2.68026  1195.33 18
455 -2.46857  1208.63 18
456 -2.78256  1240.48 18
457 3.0313  1275.16 18
458 3.85981  1278.05 18
459 -3.50667  1278.65 18
460 -2.94759  1274.57 18
461 -2.94896  1275.99 18
462 3.70884  1275.65 18
463 2.95357  1279.48 18
464 -3.50067  1279.58 18
465 -3.62437  1279.06 18
466 -3.16618  1281.81 18
467 -2.88598  1294.23 18
468 -3.05439  1296.21 18
469 3.4478  1311.74 18
470 -3.69912  1309.07 18
471 3.25223  1317.36 18
472 2.57649  1335.77 18
473 -2.98539  1348.2 18
474 -3.50059  1349.68 18
475 -2.93364  1346.8 18
476 -2.71206  1355.25 18
477 -2.61003  1380.97 18
478 -2.93428  1360.21 18
479 4.07622  1351.36 18
480 -3.51201  1332.48 18
481 -3.63245  1332.42 18
482 -4.1282  1335.93 18
483 3.93288  1319.26 18
484 -2.69865  1302.28 18
485 -4.04756  1299.73 18
486 2.96278  1316.76 18
487 3.3482  1297.33 18
