31 0  69.4954 18
488 -4.02435  1296.87 18
489 -3.36808  1310.28 18
490 4.03636  1276.48 18
491 3.26177  1244.61 18
492 -2.53363  1242.51 18
493 -2.94472  1236.74 18
494 2.68381  1233.59 18
495 2.39298  1204.77 18
496 -2.48522  1206.84 18
497 2.68925  1207.02 18
498 2.57547  1204.13 18
499 2.38757  1197.96 18
500 3.22743  1175.8 18
501 -3.1022  1176.76 18
502 -2.26597  1172.92 18
503 -3.02697  1166.78 18
504 3.56715  1162.56 18
505 2.90479  1161.24 18
506 -2.59166  1171.97 18
507 3.57162  1152.84 18
508 -3.43895  1151.7 18
509 -2.56308  1161.48 18
510 2.92923  1153.36 18
511 3.03632  1155.04 18
512 -3.94951  1119.08 18
513 3.02473  1093.29 18
514 -3.17522  1070.8 18
515 2.41135  1098.34 18
516 3.37199  1075.84 18
517 -3.48416  1037.44 18
518 -3.58414  1007.5 18
519 4.0495  998.036 18
520 2.64941  1008.9 18
521 2.62902  1006.71 18
522 2.64443  1010.55 18
523 -2.98067  1008.1 18
524 3.49113  1008.86 18
525 -3.23975  1001.27 18
526 -4.09491  996.213 18
527 3.55294  1006.54 18
528 -3.11277  996.063 18
529 -2.44166  994.474 18
530 2.83037  976.899 18
531 2.97732  977.011 18
532 2.32414  987.105 18
533 2.08877  974.498 18
534 -2.66614  959.255 18
535 2.62012  961.86 18
536 -2.64838  971.648 18
537 2.59738  952.313 18
538 2.30515  931.711 18
539 -2.75104  927.177 18
540 2.37367  967.045 18
541 -2.47463  967.662 18
542 2.42657  976.333 18
543 -2.28213  964.505 18
544 -3.11939  966.145 18
545 -2.3916  964.767 18
546 -2.57924  974.185 18
547 3.21941  980.409 18
548 2.79857  987.517 18
549 2.19265  993.398 18
550 -3.20618  974.793 18
551 2.9738  991.797 18
552 -3.2227  986.845 18
553 2.41911  988.086 18
554 3.38449  986.474 18
555 -2.43685  986.255 18
556 -3.02236  983.047 18
557 2.77148  978.012 18
558 2.82808  973.582 18
559 -2.91502  965.593 18
560 -2.30855  981.402 18
561 2.56987  989.549 18
562 -3.50553  981.031 18
563 3.95935  983.997 18
564 -2.86401  1002.32 18
565 -2.81916  1009.5 18
566 3.22136  1014.43 18
567 -3.0449  1000.26 18
568 -4.3343  996.892 18
569 4.05082  1008.49 18
570 -3.76428  1019.37 18
571 3.11842  1021.81 18
572 -3.34498  1010.48 18
573 3.36441  1011.7 18
574 -2.47992  1029.53 18
575 2.79731  1030.68 18
576 -2.29666  1013.68 18
577 -2.34033  1018.39 18
578 2.55651  1019.34 18
579 3.13764  1021.2 18
580 2.43884  1022.67 18
581 -2.97449  1029.62 18
582 -3.14723  1042.17 18
583 2.65743  1045.7 18
584 3.52506  1047.32 18
585 -3.12889  1040.87 18
586 2.39775  1062.32 18
587 -2.73514  1059.76 18
588 -2.26459  1060.42 18
589 2.84212  1059.3 18
590 -2.77586  1056.86 18
591 -2.53926  1051.1 18
592 -3.18416  1051.21 18
593 3.20191  1042.32 18
594 -2.78272  1038.01 18
595 -3.1142  1026.64 18
596 -2.80313  1026.51 18
597 2.59756  1032.95 18
598 3.75001  1022.02 18
599 -3.13026  1029.16 18
600 3.02216  1025.43 18
601 -2.76707  997.535 18
602 -2.58272  996.137 18
603 2.71924  986.489 18
604 3.72064  967.049 18
605 -2.24516  978.463 18
606 -3.43  971.98 18
607 -2.5482  964.072 18
608 -2.2262  952.418 18
609 -3.12245  946.398 18
610 2.58984  947.792 18
611 2.71259  957.412 18
612 -3.5975  946.084 18
613 2.90115  958.05 18
614 3.4329  959.38 18
615 2.59995  962.785 18
616 -3.38175  958.465 18
617 2.77385  962.706 18
618 -2.261  959.044 18
619 2.45307  967.264 18
620 2.59043  966.457 18
621 3.2788  955.544 18
622 -2.38913  960.177 18
623 -2.81579  949.883 18
624 3.45637  932.241 18
625 -3.29528  922.914 18
626 3.41437  926.47 18
627 2.73269  927.577 18
628 -2.58079  936.32 18
629 -2.15434  938.313 18
630 2.11929  932.121 18
631 -2.61466  926.397 18
632 -2.35099  939.851 18
633 3.48211  936.896 18
634 -3.21163  937.746 18
635 2.52776  930.445 18
636 -3.71574  926.231 18
637 -2.75893  929.339 18
638 3.08395  935.141 18
639 2.94339  937.212 18
640 -3.2622  939.602 18
641 3.83938  949.299 18
642 -3.08674  939.223 18
643 -3.00621  937.886 18
644 -2.75159  924.099 18
645 2.80539  909.641 18
646 2.95289  908.688 18
647 -2.68977  897.35 18
648 2.30509  907.375 18
649 -2.93347  896.869 18
650 3.14307  901.18 18
651 -3.45971  906.271 18
652 2.73999  917.186 18
653 2.86435  935.69 18
654 -2.40161  933.42 18
655 2.54794  928.418 18
656 2.62716  944.867 18
657 -2.92365  948.532 18
658 2.79499  950.065 18
659 2.53624  953.333 18
660 3.69741  944.857 18
661 -2.90044  948.1 18
662 -3.68899  950.179 18
663 2.77163  956.19 18
664 3.01048  946.041 18
665 2.59075  960.275 18
666 -3.11212  963.538 18
667 2.72424  962.786 18
668 2.39631  965.858 18
669 3.16127  943.792 18
670 -2.91437  956.376 18
671 3.40623  957.255 18
672 -2.74128  961.317 18
673 3.20923  961.2 18
674 -3.22027  948.695 18
675 -2.44469  948.332 18
676 2.29631  949.623 18
677 3.03045  953.889 18
678 -2.78279  956.215 18
679 -2.54667  963.754 18
680 2.57122  957.533 18
681 -2.6906  949.752 18
682 -2.71177  945.435 18
683 2.59553  938.689 18
684 3.33625  930.717 18
685 4.00462  932.988 18
686 -2.94294  937.821 18
687 2.30371  934.361 18
688 -2.47307  942.095 18
689 2.62278  950.532 18
690 -2.46702  957.976 18
691 3.25718  960.425 18
692 -2.9813  941.853 18
693 -2.59162  925.577 18
694 3.28925  913.073 18
695 4.04085  906.742 18
696 -2.43933  908.741 18
697 -3.59595  898.66 18
698 -3.92827  900.114 18
699 3.19435  896.367 18
700 3.25396  897.15 18
701 -2.76563  884.514 18
702 2.80992  873.064 18
703 2.75222  871.187 18
704 3.02857  858.504 18
705 -3.03851  864.845 18
706 3.07171  863.223 18
707 2.65281  857.441 18
708 -3.00936  858.439 18
709 2.87712  849.708 18
710 2.34777  863.478 18
711 -2.10365  858.295 18
712 -2.38117  848.671 18
713 -2.48579  843.346 18
714 2.5744  839.142 18
715 -2.96517  837.762 18
716 -2.28802  842.539 18
717 2.59314  808.899 18
718 -2.40904  808.789 18
719 -3.18196  812.231 18
720 2.88501  809.985 18
721 2.81623  805.514 18
722 2.52775  809.354 18
723 2.41721  804.86 18
724 -2.42369  804.203 18
725 2.7392  808.614 18
726 -2.74297  807.637 18
727 -2.71898  816.141 18
728 3.2733  809.646 18
729 -2.12287  820.141 18
730 3.22072  819.337 18
731 -1.93733  806.321 18
732 2.45107  819.281 18
733 2.06889  813.885 18
734 2.53822  811.748 18
735 2.10891  808.778 18
736 2.15792  803.988 18
737 -2.13676  796.642 18
738 2.84511  797.507 18
739 -2.50516  798.287 18
740 2.87193  791.125 18
741 -2.3617  799.018 18
742 -2.45992  794.831 18
743 2.02078  806.449 18
744 2.40887  809.01 18
745 -2.24508  808.975 18
746 2.45967  809.724 18
747 -2.07071  819.206 18
748 2.60101  819.082 18
749 -2.31325  813.535 18
750 -2.65316  818.894 18
751 2.19488  811.85 18
752 -2.97083  822.322 18
753 3.20068  817.219 18
754 3.45574  825.202 18
755 2.07707  840.01 18
756 2.48212  837.14 18
757 -2.48977  847.281 18
758 -2.95433  857.931 18
759 2.32289  865.233 18
760 -3.02985  862.299 18
761 2.79351  862.452 18
762 2.72836  871.067 18
763 -3.02191  870.353 18
764 -2.84805  883.564 18
765 2.79364  888.846 18
766 -2.31714  900.437 18
767 2.68323  897.501 18
768 3.1594  900.313 18
769 -2.89565  902.178 18
770 -2.23723  911.189 18
771 -2.71071  899.432 18
772 -2.36289  909.623 18
773 -2.27941  911.298 18
774 -2.64136  916.483 18
775 2.37624  933.145 18
776 -2.91963  944.559 18
777 -2.85602  952.739 18
778 -3.08097  961.565 18
779 3.13663  966.387 18
780 3.74384  960.222 18
781 -3.91016  970.819 18
782 3.89894  968.369 18
783 2.82432  980.317 18
784 -3.23626  976.555 18
785 -2.82629  981.935 18
786 4.00876  974.515 18
787 4.68239  962.788 18
788 -4.75345  953.472 18
789 3.25163  954.417 18
790 -3.10547  946.688 18
791 3.24717  945.744 18
792 3.0882  942.013 18
793 -3.09265  925.129 18
794 -2.69051  929.615 18
795 2.93185  927.149 18
796 -2.75502  942.918 18
797 2.33827  954.047 18
798 2.51672  951.406 18
799 3.25544  946.126 18
800 -3.0205  956.2 18
801 -2.73595  959.541 18
802 2.62618  971.951 18
803 -3.37434  974.161 18
804 -2.73184  984.911 18
805 -3.53602  980.209 18
806 3.68494  988.257 18
807 3.14962  990.729 18
808 2.89729  992.997 18
809 2.83546  991.932 18
810 -2.82912  986.301 18
811 2.86544  988.017 18
812 2.72675  994.127 18
813 -2.45018  973.409 18
814 2.94006  974.173 18
815 -2.85774  963.004 18
816 3.07101  965.594 18
817 2.72116  967.702 18
818 2.19447  972.848 18
819 -2.4651  956.406 18
820 -2.40462  962.795 18
821 2.41777  949.266 18
822 -2.58685  946.728 18
823 2.85436  957.706 18
824 3.57647  947.637 18
825 -2.81139  955.505 18
826 2.58618  948.611 18
827 -2.46484  944.53 18
828 2.6043  948.337 18
829 -2.49081  947.326 18
830 3.12406  949.131 18
831 -3.61697  952.756 18
832 -2.82483  961.328 18
833 -2.86731  951.432 18
834 3.49559  953.671 18
835 -2.85651  945.847 18
836 3.18804  932.82 18
837 2.57553  926.762 18
838 3.16894  929.289 18
839 -3.89115  923.283 18
840 -3.60019  936.773 18
841 2.75647  940.756 18
842 3.64406  928.41 18
843 -3.06101  941.687 18
844 -2.91236  932.572 18
845 -2.85439  938.889 18
846 2.55655  931.198 18
847 2.28206  936.524 18
848 -2.12546  952.073 18
849 -2.36946  984.875 18
850 -3.10748  992.548 18
851 -2.59857  1011.19 18
852 2.83969  1015.19 18
853 3.58509  1009.22 18
854 -3.3321  1016.45 18
855 3.46515  1018.1 18
856 -2.48372  1026.2 18
857 2.57535  1028.3 18
858 -2.76527  1023.79 18
859 2.20901  1026.14 18
860 -3.06843  1027.09 18
861 3.36771  1008.86 18
862 -2.55084  1017.56 18
863 -3.00218  1011.03 18
864 -2.86428  1007.71 18
865 -2.53319  1013.57 18
866 3.3075  1020.52 18
867 -2.32779  1041.02 18
868 -3.62822  1034.16 18
869 3.58308  1033.96 18
870 3.24669  1051.11 18
871 -2.86506  1073.9 18
872 2.92598  1069.63 18
873 -3.48913  1057.64 18
874 2.7975  1072.88 18
875 2.72538  1094.37 18
876 2.67963  1092.22 18
877 -2.7946  1083.51 18
878 3.12774  1098.01 18
879 3.7408  1086.12 18
880 -2.85408  1112.7 18
881 2.69111  1113.03 18
882 2.95297  1125.07 18
883 -2.6321  1165.78 18
884 3.02538  1146.34 18
885 3.05302  1148.02 18
886 -3.61223  1148.63 18
887 -4.06408  1169.48 18
888 -3.26519  1189.87 18
889 -2.59322  1192.51 18
890 2.85967  1204.03 18
891 -2.56605  1206.18 18
892 2.70388  1198.42 18
893 2.87528  1200.21 18
894 -3.09706  1201.59 18
895 -4.42847  1178.68 18
896 -3.37643  1189.51 18
897 3.44045  1187.48 18
898 3.73321  1194.45 18
899 3.16807  1198.15 18
900 -2.93315  1211.68 18
901 4.11557  1196.34 18
902 3.575  1195.62 18
903 -4.21282  1205.38 18
904 -3.56038  1213.9 18
905 3.89692  1203.28 18
906 -3.64529  1212.79 18
907 3.48599  1233.81 18
908 -4.20603  1234.77 18
909 -3.21368  1230.63 18
910 -3.03195  1224.44 18
911 -4.0598  1228.24 18
912 -4.5512  1222.07 18
913 4.6493  1212.96 18
914 -3.09345  1235.1 18
915 -3.21644  1233.73 18
916 -3.40604  1231.76 18
917 3.12551  1227.38 18
918 3.565  1215.36 18
919 -4.06726  1207.19 18
920 -2.79685  1211.96 18
921 -2.68865  1207.86 18
922 -3.18549  1208.16 18
923 3.1946  1201.48 18
924 2.68199  1205.34 18
925 -2.75093  1218.39 18
926 -3.07012  1199.62 18
927 -3.2902  1178.27 18
928 3.50407  1162.49 18
929 3.33201  1162.3 18
930 3.94312  1152.85 18
931 -3.57072  1146.08 18
932 -4.80635  1113.27 18
933 -4.06186  1134.02 18
934 -3.81848  1144.38 18
935 3.04506  1137.29 18
936 -2.98279  1120.56 18
937 3.4489  1113.42 18
938 -3.31396  1127.08 18
939 -3.86526  1114.78 18
940 -3.20482  1126.87 18
941 3.74931  1099.52 18
942 -3.00188  1102.19 18
943 -2.86149  1098.65 18
944 2.61663  1066.2 18
945 2.92342  1073.16 18
946 2.43119  1076.77 18
947 -3.65683  1075.94 18
948 -3.05776  1054.4 18
949 -2.60862  1065.05 18
950 2.87201  1060.89 18
951 2.78026  1045.44 18
952 -2.47253  1043.35 18
953 2.66355  1041.21 18
954 2.41505  1030.28 18
955 -2.59858  1030.76 18
956 -2.64902  1065.18 18
957 2.98697  1069.91 18
958 3.27651  1066.88 18
959 3.09798  1059.79 18
960 3.05795  1055.7 18
961 2.83289  1053.35 18
962 -2.87608  1040.87 18
963 -2.57341  1038.81 18
964 3.0328  1028.77 18
965 3.78969  1026.39 18
966 -3.90211  1021.58 18
967 2.34851  1021.14 18
968 3.49273  1006.79 18
969 -3.33356  999.692 18
970 3.2403  985.335 18
971 2.79396  987.324 18
972 -2.64271  980.483 18
973 2.83561  982.712 18
974 -3.51704  978.897 18
975 -3.23589  980.905 18
976 3.37713  977.316 18
977 3.66962  977.725 18
978 -3.36018  982.866 18
979 -3.8834  983.525 18
980 2.81127  1009.39 18
981 2.83237  1013.45 18
982 2.81641  1008.59 18
983 2.71168  1019.29 18
984 3.47822  1013.73 18
985 3.05315  1023.66 18
986 3.25404  1024.05 18
987 -4.09648  1026.11 18
988 2.35943  1041.75 18
989 2.54958  1035.09 18
990 -3.25198  1038.7 18
991 3.62259  1042.16 18
992 -2.28777  1044.99 18
993 -2.80908  1042.29 18
994 3.33551  1029.53 18
995 -2.60089  1032.12 18
996 -2.59414  1039.84 18
997 -2.80838  1033.43 18
998 2.65642  1033.62 18
999 3.02055  1015.73 18
1000 -4.01551  1012.44 18
1001 3.41984  1012.86 18
1002 -3.21223  1015.05 18
1003 3.16747  1001.83 18
1004 -3.04736  1000.1 18
1005 -3.47676  990.604 18
1006 3.13268  983.865 18
1007 3.49784  975.563 18
1008 -3.0443  958.892 18
1009 -3.03603  953.566 18
1010 -3.95035  926.585 18
1011 -3.72573  924.096 18
1012 -2.62244  936.885 18
1013 2.7916  939.031 18
1014 2.96483  931.732 18
1015 -4.26791  923.736 18
1016 3.39191  936.562 18
1017 3.79912  919.087 18
1018 -3.55609  910.545 18
1019 -2.88097  922.734 18
1020 2.92065  914.27 18
1021 2.68916  917.313 18
1022 -3.50614  907.963 18
1023 2.84004  907.752 18
1024 3.13025  903.769 18
1025 3.03894  901.129 18
1026 -3.25917  898.346 18
1027 2.33316  912.598 18
1028 -2.54048  907.888 18
1029 -2.29721  903.904 18
1030 2.37771  912.181 18
1031 2.9064  915.377 18
1032 -2.91186  899.592 18
1033 -2.35935  901.432 18
1034 -2.63141  902.354 18
1035 -2.35779  904.772 18
1036 1.95313  895.649 18
1037 2.63755  885.458 18
1038 -2.23376  893.446 18
1039 -2.62587  891.299 18
1040 -2.13401  884.482 18
1041 -2.44383  868.727 18
1042 2.80331  865.095 18
1043 2.77744  867.736 18
1044 2.62257  858.303 18
1045 -3.65436  854.934 18
1046 3.48289  845.759 18
