31 0  75.055 20
32 0  75.0376 20
33 0  75.0252 20
34 0  74.9993 20
35 0  74.9687 20
36 0  74.9576 20
37 0  74.8419 20
38 0  74.906 20
39 0  74.8978 20
40 0  74.8739 20
41 0  74.8499 20
42 0  74.8181 20
43 0  74.7705 20
44 0  74.7506 20
45 0  74.7215 20
46 0  74.6973 20
47 0  74.0324 20
48 0  74.0194 20
49 0  74.007 20
50 0  74.3048 20
51 0  74.6044 20
52 0  74.3491 20
53 0  74.6886 20
54 0  75.3547 20
55 0  75.3426 20
56 0  75.6176 20
57 0  75.5957 20
58 0  75.596 20
59 0  75.5948 20
60 0  75.5785 20
61 0  75.5622 20
62 0  75.5463 20
63 0  75.5121 20
64 0  75.9835 20
65 0  75.9822 20
66 0  75.5321 20
67 0  75.5157 20
68 0  75.509 20
69 0  75.4937 20
70 0  75.7072 20
71 0  75.9216 20
72 0  75.9107 20
73 0  75.8939 20
74 0  75.8731 20
75 0  75.7084 20
76 0  75.6898 20
77 0  75.633 20
78 0  75.4006 20
79 0  75.3976 20
80 0  75.4036 20
81 0  75.4095 20
82 0  75.3923 20
83 0  75.3902 20
84 0  75.3821 20
85 0  75.3589 20
86 0  75.3519 20
87 0  75.3489 20
88 0  75.3402 20
89 0  75.3396 20
90 0  74.6852 20
91 0  74.0392 20
92 0  74.0489 20
93 0  74.0401 20
94 0  74.073 20
95 0  74.0647 20
96 0  74.0656 20
97 0  74.0977 20
98 0  74.102 20
99 0  73.9451 20
100 0  73.9747 20
101 0  74.0043 20
102 0  74.0084 20
103 0  73.9792 20
104 0  73.7822 20
105 0  73.7712 20
106 0  74.1181 20
107 0  74.08 20
108 0  74.0466 20
109 0  74.0633 20
110 0  74.0806 20
111 0  74.098 20
112 0  74.0942 20
113 0  74.0892 20
114 0  74.0892 20
115 0  74.0862 20
116 0  74.0729 20
117 0  74.0681 20
118 0  74.0528 20
119 0  74.0555 20
120 0  74.2278 20
121 0  74.4008 20
122 0  74.6884 20
123 0  74.6943 20
124 0  74.7022 20
125 0  74.7392 20
126 0  74.7176 20
127 0  74.7367 20
128 0  74.536 20
129 0  74.5336 20
130 0  74.538 20
131 0  74.5425 20
132 0  74.5048 20
133 0  74.4827 20
134 0  74.4965 20
135 0  74.3602 20
136 0  74.3407 20
137 0  74.3436 20
138 0  74.3495 20
139 0  74.3454 20
140 0  74.4948 20
141 0  74.6447 20
142 0  74.6159 20
143 0  74.6698 20
144 0  74.6757 20
145 0  74.6981 20
146 0  74.7163 20
147 0  74.7216 20
148 0  74.3562 20
149 0  74.7109 20
150 0  74.7112 20
151 0  74.7116 20
152 0  74.7086 20
153 0  74.7072 20
154 0  74.7106 20
155 0  74.7076 20
156 0  74.707 20
157 0  74.6931 20
158 0  74.6877 20
159 0  74.6866 20
160 0  74.238 20
161 0  73.7934 20
162 0  73.971 20
163 0  74.2294 20
164 0  74.8695 20
165 0  74.6589 20
166 0  75.0727 20
167 0  75.0834 20
168 0  75.0819 20
169 0  75.0853 20
170 0  75.0978 20
171 0  75.1103 20
172 0  74.9645 20
173 0  75.1805 20
174 0  75.1945 20
175 0  76.1522 20
176 0  76.1888 20
177 0  76.2401 20
178 0  76.2856 20
179 0  76.3113 20
180 0  76.3501 20
181 0  76.3888 20
182 0  75.2369 20
183 0  75.241 20
184 0  75.2386 20
185 0  75.1995 20
186 0  76.5233 20
187 0  76.5506 20
188 0  76.5814 20
189 0  76.6093 20
190 0  76.8704 20
191 0  77.1328 20
192 0  77.1606 20
193 0  76.8074 20
194 0  76.8528 20
195 0  76.9597 20
196 0  77.0111 20
197 0  77.0598 20
198 0  77.0861 20
199 0  76.6239 20
200 0  76.6705 20
201 0  76.7171 20
202 0  76.7655 20
203 0  76.8139 20
204 0  76.8594 20
205 0  76.899 20
206 0  76.9507 20
207 0  76.9855 20
208 0  77.0383 20
209 0  77.0835 20
210 0  77.1746 20
211 0  77.2658 20
212 0  77.4579 20
213 0  77.506 20
214 0  77.5465 20
215 0  77.5909 20
216 0  78.0756 20
217 0  77.6722 20
218 0  78.1614 20
219 0  78.1951 20
220 0  78.2225 20
221 0  78.2498 20
222 0  78.137 20
223 0  78.179 20
224 0  78.5653 20
225 0  78.6124 20
226 0  78.5357 20
227 0  78.5792 20
228 0  78.7702 20
229 0  78.456 20
230 0  78.4961 20
231 0  78.5363 20
232 0  78.487 20
233 0  78.5414 20
234 0  78.5879 20
235 0  78.6347 20
236 0  78.6822 20
237 0  78.7348 20
238 0  78.7902 20
239 0  78.8331 20
240 0  78.8899 20
241 0  78.9467 20
242 0  78.9919 20
243 0  79.0359 20
244 0  79.0757 20
245 0  79.117 20
246 0  79.1675 20
247 0  79.0909 20
248 0  79.1384 20
249 0  79.1856 20
250 0  78.9899 20
251 0  78.7949 20
252 0  78.8467 20
253 0  78.9003 20
254 0  78.9537 20
255 0  79.3263 20
256 0  79.3884 20
257 0  79.8529 20
258 0  80.1082 20
259 0  80.1595 20
260 0  80.0194 20
261 0  79.8797 20
262 0  79.9181 20
263 0  79.9568 20
264 0  79.9933 20
265 0  80.0312 20
266 0  79.7423 20
267 0  79.7856 20
268 0  79.83 20
269 0  80.3611 20
270 0  80.4092 20
271 0  80.4574 20
272 0  80.5091 20
273 0  80.5739 20
274 0  80.6302 20
275 0  80.9015 20
276 0  80.9448 20
277 0  80.7962 20
278 0  80.8446 20
279 0  80.8959 20
280 0  80.9453 20
281 0  80.9947 20
282 0  81.0477 20
283 0  81.0952 20
284 0  81.1369 20
285 0  81.1909 20
286 0  81.2357 20
287 0  81.6373 20
288 0  81.8248 20
289 0  81.8798 20
290 0  82.0149 20
291 0  82.1503 20
292 0  82.2053 20
293 0  82.2581 20
294 0  82.3103 20
295 0  82.361 20
296 0  82.5622 20
297 0  82.6134 20
298 0  82.6608 20
299 0  82.7084 20
300 0  82.7604 20
301 0  82.8124 20
302 0  82.7588 20
303 0  82.801 20
304 0  82.864 20
305 0  82.9125 20
306 0  82.9568 20
307 0  83.001 20
308 0  83.053 20
309 0  83.0741 20
310 0  83.1309 20
311 0  83.1877 20
312 0  83.2378 20
313 0  83.2847 20
314 0  83.1319 20
315 0  83.1771 20
316 0  83.223 20
317 0  83.4604 20
318 0  83.5021 20
319 0  83.5433 20
320 0  83.5837 20
321 0  83.6242 20
322 0  83.4938 20
323 0  83.7089 20
324 0  83.7471 20
325 0  83.7854 20
326 0  83.6415 20
327 0  83.6807 20
328 0  83.7129 20
329 0  83.9177 20
330 0  83.8705 20
331 0  83.8233 20
332 0  83.8581 20
333 0  83.894 20
334 0  83.9291 20
335 0  84.0616 20
336 0  84.1014 20
337 0  84.14 20
338 0  84.2843 20
339 0  84.3185 20
340 0  84.2845 20
341 0  84.2505 20
342 0  84.4612 20
343 0  84.4969 20
344 0  84.535 20
345 0  84.7157 20
346 0  84.7479 20
347 0  84.7798 20
348 0  84.8101 20
349 0  84.8372 20
350 0  84.8652 20
351 0  84.8932 20
352 0  84.9112 20
353 0  84.9338 20
354 0  84.9537 20
355 0  84.9818 20
356 0  85.0064 20
357 0  84.7052 20
358 0  84.7295 20
359 0  84.9984 20
360 0  85.0313 20
361 0  85.0643 20
362 0  84.9801 20
363 0  85.0171 20
364 0  85.0579 20
365 0  85.1063 20
366 0  85.1426 20
367 0  85.1764 20
368 0  85.2108 20
369 0  85.2453 20
370 0  85.2789 20
371 0  85.3125 20
372 0  85.3445 20
373 0  85.4871 20
374 0  85.5194 20
375 0  85.552 20
376 0  85.5875 20
377 0  85.6186 20
