31 0  86.677 20
32 0  86.6837 20
33 0  86.6907 20
34 0  86.6952 20
35 0  86.7078 20
36 0  86.7119 20
37 0  86.7155 20
38 0  86.7194 20
39 0  86.759 20
40 0  86.8196 20
41 0  86.8802 20
42 0  86.88 20
43 0  86.8792 20
44 0  86.9503 20
45 0  86.9453 20
46 0  86.9515 20
47 0  86.934 20
48 0  86.9339 20
49 0  86.8846 20
50 0  86.944 20
51 0  87.0035 20
52 0  86.9962 20
53 0  87.0593 20
54 0  87.0896 20
55 0  87.0802 20
56 0  87.0747 20
57 0  87.0684 20
58 0  86.6189 20
59 0  86.6172 20
60 0  86.6155 20
61 0  86.6138 20
62 0  86.6148 20
63 0  86.6045 20
64 0  86.5996 20
65 0  86.6018 20
66 0  86.5971 20
67 0  86.5932 20
68 0  86.5872 20
69 0  86.5448 20
70 0  86.5583 20
71 0  86.5719 20
72 0  86.5641 20
73 0  86.5826 20
74 0  86.5774 20
75 0  86.5714 20
76 0  86.5574 20
77 0  86.5513 20
78 0  86.5372 20
79 0  86.5256 20
80 0  86.5131 20
81 0  86.5007 20
82 0  86.4832 20
83 0  86.4697 20
84 0  86.4575 20
85 0  86.4428 20
86 0  86.4289 20
87 0  86.4123 20
88 0  86.3954 20
89 0  86.3802 20
90 0  86.3615 20
91 0  86.3427 20
92 0  86.3227 20
93 0  86.3039 20
94 0  86.2844 20
95 0  86.2653 20
96 0  86.2867 20
97 0  86.2658 20
98 0  86.2444 20
99 0  86.223 20
100 0  86.2113 20
101 0  86.1995 20
102 0  86.1763 20
103 0  86.1571 20
104 0  86.1317 20
105 0  86.1081 20
106 0  86.0832 20
107 0  86.0564 20
108 0  86.0302 20
109 0  86.0027 20
110 0  85.9738 20
111 0  85.9449 20
112 0  85.9146 20
113 0  85.8852 20
114 0  85.7991 20
115 0  85.7761 20
116 0  85.8033 20
117 0  85.7511 20
118 0  85.7138 20
119 0  85.7344 20
120 0  85.6982 20
121 0  85.6621 20
122 0  85.6336 20
123 0  85.5972 20
124 0  85.5605 20
125 0  85.5212 20
126 0  85.4831 20
127 0  85.447 20
128 0  85.8735 20
129 0  85.8399 20
130 0  85.8051 20
131 0  85.7703 20
132 0  85.7353 20
133 0  85.252 20
134 0  85.2222 20
135 0  85.1956 20
136 0  85.7344 20
137 0  85.5744 20
138 0  85.1699 20
139 0  85.5306 20
140 0  85.3372 20
141 0  85.1445 20
142 0  85.0534 20
143 0  85.044 20
144 0  85.1131 20
145 0  85.1021 20
146 0  85.0889 20
147 0  85.0769 20
148 0  85.0645 20
149 0  85.0522 20
150 0  85.0539 20
151 0  85.0556 20
152 0  85.0412 20
153 0  84.9999 20
154 0  84.9684 20
155 0  84.9829 20
156 0  84.9703 20
157 0  84.4897 20
158 0  83.8859 20
159 0  83.8929 20
160 0  84.1728 20
161 0  84.4541 20
162 0  84.4391 20
163 0  84.4332 20
164 0  84.4199 20
165 0  84.4105 20
166 0  84.4023 20
167 0  84.388 20
168 0  84.3749 20
169 0  83.9439 20
170 0  83.9454 20
171 0  83.9469 20
172 0  83.9444 20
173 0  83.9463 20
174 0  83.9455 20
175 0  83.9553 20
176 0  83.9515 20
177 0  83.9528 20
178 0  83.9507 20
179 0  83.9483 20
180 0  83.9452 20
181 0  83.9421 20
182 0  83.9379 20
183 0  83.9333 20
184 0  83.9289 20
185 0  83.9204 20
186 0  83.9146 20
187 0  83.9072 20
188 0  83.9009 20
189 0  83.8943 20
190 0  83.8876 20
191 0  83.8808 20
192 0  83.8732 20
193 0  83.8632 20
194 0  83.8606 20
195 0  83.7354 20
196 0  83.7027 20
197 0  83.6929 20
198 0  83.8002 20
199 0  83.7872 20
200 0  83.7625 20
201 0  83.7378 20
202 0  83.7271 20
203 0  83.7177 20
204 0  83.7067 20
205 0  83.6976 20
206 0  83.6903 20
207 0  83.6844 20
208 0  83.6692 20
209 0  83.6571 20
210 0  83.6464 20
211 0  83.6358 20
212 0  83.6063 20
213 0  83.5994 20
214 0  83.5867 20
215 0  83.9325 20
216 0  83.5812 20
217 0  83.5607 20
218 0  83.5455 20
219 0  83.5302 20
220 0  83.7324 20
221 0  83.9353 20
222 0  83.9304 20
223 0  83.9565 20
224 0  83.9532 20
225 0  83.9471 20
226 0  83.9397 20
227 0  83.9437 20
228 0  83.9349 20
229 0  83.9267 20
230 0  83.9164 20
231 0  83.9061 20
232 0  83.894 20
233 0  83.8357 20
234 0  83.8266 20
235 0  83.8162 20
236 0  83.8055 20
237 0  83.7943 20
238 0  83.7826 20
239 0  83.7772 20
240 0  83.7683 20
241 0  83.7594 20
242 0  83.7429 20
243 0  83.7683 20
244 0  83.7484 20
245 0  83.7384 20
246 0  83.7352 20
247 0  84.0295 20
248 0  84.0259 20
249 0  84.0208 20
250 0  84.0142 20
251 0  84.0076 20
252 0  84.0014 20
253 0  83.9951 20
254 0  84 20
255 0  83.992 20
256 0  83.987 20
257 0  83.9819 20
258 0  83.9737 20
259 0  83.9638 20
260 0  83.9528 20
261 0  83.9417 20
262 0  83.932 20
263 0  83.9244 20
264 0  83.9125 20
265 0  83.9004 20
266 0  83.8877 20
267 0  83.8754 20
268 0  83.8635 20
269 0  83.8366 20
270 0  83.7054 20
271 0  83.5746 20
272 0  83.6696 20
273 0  83.6567 20
274 0  83.5409 20
275 0  83.5196 20
276 0  83.5029 20
277 0  83.4871 20
278 0  83.4672 20
279 0  83.4531 20
280 0  83.4382 20
281 0  83.4233 20
282 0  83.4052 20
283 0  83.4799 20
284 0  83.5863 20
285 0  83.5654 20
286 0  83.54 20
287 0  83.5246 20
288 0  83.5256 20
289 0  83.5937 20
290 0  83.569 20
291 0  83.5442 20
292 0  83.524 20
293 0  83.5099 20
294 0  83.4566 20
295 0  83.4356 20
296 0  83.4168 20
297 0  83.3965 20
298 0  83.3788 20
299 0  83.355 20
300 0  83.3334 20
301 0  83.3119 20
302 0  83.2901 20
303 0  83.2667 20
304 0  83.2438 20
305 0  83.2203 20
306 0  83.1941 20
307 0  83.169 20
308 0  83.141 20
309 0  83.1143 20
310 0  82.8256 20
311 0  82.5384 20
312 0  82.525 20
313 0  82.5008 20
314 0  82.4849 20
315 0  83.0549 20
316 0  83.0271 20
317 0  83.0017 20
318 0  82.9718 20
319 0  82.9329 20
320 0  82.911 20
321 0  82.889 20
322 0  82.8621 20
323 0  82.8445 20
324 0  82.8183 20
325 0  82.7604 20
326 0  82.7352 20
327 0  82.7071 20
328 0  82.6789 20
329 0  82.6502 20
330 0  82.6254 20
331 0  82.6006 20
332 0  82.5724 20
333 0  82.5419 20
334 0  82.5129 20
335 0  82.4833 20
336 0  82.4583 20
337 0  82.4284 20
338 0  82.3904 20
339 0  82.2946 20
340 0  82.2624 20
341 0  82.2301 20
342 0  82.1982 20
343 0  82.1736 20
344 0  82.144 20
345 0  82.1221 20
346 0  82.086 20
347 0  81.7046 20
348 0  81.679 20
349 0  81.6477 20
350 0  81.6313 20
351 0  81.6149 20
352 0  81.5987 20
353 0  81.5624 20
354 0  81.5462 20
355 0  81.5117 20
356 0  81.4545 20
357 0  81.4251 20
358 0  81.3888 20
359 0  81.3622 20
360 0  81.3318 20
361 0  81.3015 20
362 0  81.2727 20
363 0  81.2503 20
364 0  81.173 20
365 0  81.1453 20
366 0  81.1209 20
367 0  81.0885 20
368 0  81.0601 20
369 0  81.0317 20
370 0  81.0002 20
371 0  80.9686 20
372 0  81.223 20
373 0  81.2059 20
374 0  81.1852 20
375 0  81.0732 20
376 0  81.0554 20
377 0  81.0412 20
378 0  81.0172 20
379 0  81.0002 20
380 0  81.0377 20
381 0  81.0752 20
382 0  81.0375 20
383 0  81.0241 20
384 0  81.0036 20
385 0  80.9776 20
386 0  80.9482 20
387 0  80.9209 20
388 0  80.7994 20
389 0  80.3719 20
390 0  80.3583 20
391 0  80.3446 20
392 0  80.329 20
393 0  80.6552 20
394 0  80.5662 20
395 0  80.5822 20
396 0  80.2504 20
397 0  80.2275 20
398 0  80.252 20
399 0  80.2425 20
400 0  80.2319 20
401 0  80.2213 20
402 0  80.202 20
403 0  80.1813 20
404 0  78.5547 20
405 0  80.2118 20
406 0  80.17 20
407 0  80.1447 20
408 0  80.1474 20
409 0  80.1116 20
410 0  80.0985 20
411 0  80.0855 20
412 0  80.0694 20
413 0  80.3957 20
414 0  80.3325 20
415 0  80.399 20
416 0  80.3904 20
417 0  80.2238 20
418 0  80.2173 20
419 0  80.1232 20
420 0  80.1155 20
421 0  80.1079 20
422 0  80.1074 20
423 0  80.1009 20
424 0  80.2345 20
425 0  80.227 20
426 0  80.215 20
427 0  80.2085 20
428 0  80.2062 20
429 0  80.1964 20
430 0  80.1847 20
431 0  80.1731 20
432 0  80.1634 20
433 0  80.154 20
434 0  80.1317 20
435 0  80.1337 20
436 0  80.1229 20
437 0  80.1118 20
438 0  80.1028 20
439 0  80.0913 20
440 0  80.0606 20
441 0  80.0299 20
442 0  80.0238 20
443 0  80.0575 20
444 0  80.0791 20
445 0  80.065 20
446 0  80.0526 20
447 0  80.0383 20
448 0  80.0198 20
449 0  79.9998 20
450 0  79.9937 20
451 0  79.9876 20
452 0  79.9685 20
453 0  79.8745 20
454 0  79.9337 20
455 0  79.9002 20
456 0  79.8975 20
457 0  79.887 20
458 0  79.8734 20
459 0  79.8548 20
460 0  79.5141 20
461 0  79.1756 20
462 0  79.1683 20
463 0  79.1792 20
464 0  79.0872 20
465 0  78.9295 20
466 0  79.1037 20
467 0  79.1027 20
468 0  79.1043 20
469 0  79.1051 20
470 0  79.1089 20
471 0  79.1127 20
472 0  79.1115 20
473 0  79.1123 20
474 0  79.1105 20
475 0  79.0974 20
476 0  79.1139 20
477 0  79.1147 20
478 0  79.1188 20
479 0  79.1402 20
480 0  79.1221 20
481 0  79.1041 20
482 0  79.1011 20
483 0  79.136 20
484 0  79.0014 20
485 0  79.0259 20
486 0  78.995 20
487 0  79.0272 20
488 0  78.9957 20
489 0  78.9915 20
490 0  79.0302 20
491 0  79.0688 20
492 0  78.8867 20
493 0  78.8789 20
494 0  78.8018 20
495 0  78.8049 20
496 0  78.8058 20
497 0  78.9293 20
498 0  78.9226 20
499 0  78.9186 20
500 0  78.8589 20
501 0  78.7992 20
502 0  78.79 20
503 0  78.7889 20
504 0  78.7866 20
505 0  78.7882 20
506 0  78.7741 20
507 0  78.7696 20
508 0  78.7629 20
509 0  78.7244 20
510 0  78.7268 20
511 0  78.7291 20
512 0  78.7188 20
513 0  78.7218 20
514 0  78.7162 20
515 0  78.7033 20
516 0  78.704 20
517 0  78.6955 20
518 0  78.6972 20
519 0  78.6876 20
520 0  78.6835 20
521 0  78.6794 20
522 0  78.2371 20
523 0  78.6633 20
524 0  78.66 20
525 0  78.9579 20
526 0  78.9625 20
527 0  78.9617 20
528 0  78.9479 20
529 0  78.9314 20
530 0  78.9246 20
531 0  78.9177 20
532 0  78.9093 20
533 0  78.9 20
534 0  78.7412 20
535 0  78.8184 20
536 0  78.8087 20
537 0  78.6094 20
538 0  78.6007 20
539 0  78.5935 20
540 0  78.5525 20
541 0  78.5115 20
542 0  78.5501 20
543 0  78.5425 20
544 0  78.1126 20
545 0  78.1081 20
546 0  78.1329 20
547 0  78.1268 20
548 0  78.0973 20
549 0  78.0719 20
550 0  78.0792 20
551 0  78.0866 20
552 0  78.0795 20
553 0  78.1097 20
554 0  78.1055 20
555 0  77.9755 20
556 0  77.99 20
557 0  78.0157 20
558 0  77.9981 20
559 0  78.024 20
560 0  78.0379 20
561 0  78.0518 20
562 0  77.6021 20
563 0  77.5959 20
564 0  77.5757 20
565 0  77.591 20
566 0  77.5865 20
567 0  77.5799 20
568 0  77.5651 20
569 0  77.5501 20
570 0  77.344 20
571 0  77.1387 20
572 0  77.1406 20
573 0  77.1313 20
574 0  77.1368 20
575 0  77.141 20
576 0  77.1409 20
577 0  77.1312 20
578 0  77.1276 20
579 0  77.1346 20
580 0  77.1377 20
581 0  77.1408 20
582 0  77.1346 20
583 0  76.8612 20
584 0  76.9204 20
585 0  76.9005 20
586 0  76.8937 20
587 0  76.8906 20
588 0  76.8838 20
589 0  76.6487 20
590 0  76.6428 20
591 0  76.6369 20
592 0  76.3952 20
593 0  76.3924 20
594 0  76.3924 20
595 0  76.3862 20
596 0  76.4008 20
597 0  76.4032 20
598 0  76.3946 20
599 0  76.3368 20
600 0  76.3384 20
601 0  76.34 20
602 0  76.3587 20
603 0  76.3405 20
604 0  76.3449 20
605 0  76.3901 20
606 0  76.3852 20
607 0  76.1818 20
608 0  76.172 20
609 0  76.1755 20
610 0  76.1697 20
611 0  76.1638 20
612 0  76.163 20
613 0  76.1496 20
614 0  76.1571 20
615 0  76.1496 20
616 0  76.1436 20
617 0  76.1416 20
618 0  76.1204 20
619 0  76.1251 20
620 0  76.1065 20
621 0  76.0878 20
622 0  76.062 20
623 0  76.0361 20
624 0  76.0506 20
625 0  76.0153 20
626 0  75.9953 20
627 0  75.9871 20
628 0  75.9718 20
629 0  75.966 20
630 0  75.9054 20
631 0  75.8448 20
632 0  75.8151 20
633 0  75.4785 20
634 0  75.7901 20
635 0  75.7785 20
636 0  75.7662 20
637 0  75.7571 20
638 0  75.7926 20
639 0  75.8698 20
640 0  75.852 20
641 0  75.8343 20
642 0  75.7733 20
643 0  75.7783 20
644 0  75.7537 20
645 0  75.7421 20
646 0  75.7155 20
647 0  75.707 20
648 0  75.6978 20
649 0  75.1884 20
650 0  75.4281 20
651 0  75.6689 20
652 0  75.6887 20
653 0  75.8144 20
654 0  75.8109 20
655 0  75.8189 20
656 0  75.8061 20
657 0  75.8571 20
658 0  75.8634 20
659 0  75.8589 20
660 0  75.8227 20
661 0  75.7866 20
662 0  75.8052 20
663 0  75.7961 20
664 0  75.7867 20
665 0  75.8511 20
666 0  75.8361 20
667 0  75.7974 20
668 0  75.7859 20
669 0  75.8371 20
670 0  75.8338 20
671 0  75.8305 20
672 0  75.7993 20
673 0  75.6097 20
674 0  75.5362 20
675 0  75.5854 20
676 0  75.1359 20
677 0  75.1317 20
678 0  74.7472 20
679 0  74.513 20
680 0  74.5196 20
681 0  74.5263 20
682 0  74.5274 20
683 0  74.5775 20
684 0  74.6139 20
685 0  74.613 20
686 0  74.6158 20
687 0  74.5933 20
688 0  74.5366 20
689 0  74.551 20
690 0  74.5696 20
691 0  74.5882 20
692 0  74.9376 20
693 0  74.9447 20
694 0  74.9859 20
695 0  74.9634 20
696 0  74.9772 20
697 0  74.9534 20
698 0  74.5915 20
699 0  75.0285 20
700 0  75.2001 20
