31 0  86.5912 20
32 0  86.596 20
33 0  86.6037 20
34 0  86.6105 20
35 0  86.6596 20
36 0  86.6613 20
37 0  86.665 20
38 0  86.6689 20
39 0  86.6721 20
40 0  86.6732 20
41 0  86.6744 20
42 0  86.6769 20
43 0  86.7039 20
44 0  86.6979 20
45 0  86.6985 20
46 0  86.937 20
47 0  86.9464 20
48 0  86.9525 20
49 0  86.9596 20
50 0  86.9654 20
51 0  86.9713 20
52 0  86.9787 20
53 0  86.9829 20
54 0  86.9863 20
55 0  87.0145 20
56 0  87.0121 20
57 0  87.0102 20
58 0  87.0116 20
59 0  87.0095 20
60 0  87.009 20
61 0  87.0086 20
62 0  87.0048 20
63 0  87.0009 20
64 0  87.0009 20
65 0  86.9984 20
66 0  86.9896 20
67 0  86.9866 20
68 0  86.9791 20
69 0  86.9709 20
70 0  86.9535 20
71 0  86.9362 20
72 0  86.9255 20
73 0  86.9143 20
74 0  86.8934 20
75 0  86.8807 20
76 0  86.4552 20
77 0  86.4514 20
78 0  86.3447 20
79 0  86.4418 20
80 0  86.4382 20
81 0  86.4346 20
82 0  86.4272 20
83 0  86.4183 20
84 0  86.418 20
85 0  86.4074 20
86 0  86.2537 20
87 0  86.245 20
88 0  86.2306 20
89 0  86.2281 20
90 0  86.2169 20
91 0  86.2058 20
92 0  86.1945 20
93 0  86.1817 20
94 0  86.1694 20
95 0  86.1556 20
96 0  86.1413 20
97 0  86.1275 20
98 0  86.1178 20
99 0  86.1026 20
100 0  86.0864 20
101 0  86.0702 20
102 0  86.0528 20
103 0  86.1914 20
104 0  86.173 20
105 0  86.1726 20
106 0  86.1904 20
107 0  86.251 20
108 0  86.2328 20
109 0  86.2147 20
110 0  86.1943 20
111 0  86.1738 20
112 0  86.1517 20
113 0  86.1294 20
114 0  86.1057 20
115 0  86.0784 20
116 0  86.0503 20
117 0  86.0261 20
118 0  86.0008 20
119 0  85.9746 20
120 0  85.947 20
121 0  85.9194 20
122 0  85.8889 20
123 0  85.8604 20
