31 0  83.741 20
32 0  83.7603 20
33 0  83.7806 20
34 0  83.7993 20
35 0  83.8183 20
36 0  84.0453 20
37 0  84.0581 20
38 0  84.0798 20
39 0  84.053 20
40 0  84.0707 20
41 0  84.0883 20
42 0  84.1033 20
43 0  84.1187 20
44 0  84.1314 20
45 0  84.1439 20
46 0  84.1561 20
47 0  84.1623 20
48 0  84.1761 20
49 0  84.1835 20
50 0  83.9866 20
51 0  83.7903 20
52 0  84.236 20
53 0  84.2431 20
54 0  83.8449 20
55 0  83.8613 20
56 0  83.9121 20
57 0  83.9287 20
58 0  83.9448 20
59 0  83.9613 20
60 0  83.976 20
61 0  83.9907 20
62 0  84.0041 20
63 0  84.0168 20
64 0  83.9492 20
65 0  83.962 20
66 0  83.9727 20
67 0  83.9788 20
68 0  83.9908 20
69 0  83.9683 20
70 0  84.0359 20
71 0  84.1036 20
72 0  84.6589 20
73 0  84.1256 20
74 0  84.7094 20
75 0  84.7328 20
76 0  84.7554 20
77 0  84.6766 20
78 0  84.7015 20
79 0  84.8499 20
80 0  84.8699 20
81 0  84.89 20
82 0  84.906 20
83 0  84.926 20
84 0  84.9418 20
85 0  84.9875 20
86 0  85.0046 20
87 0  85.0231 20
88 0  85.044 20
89 0  85.059 20
90 0  85.076 20
91 0  85.0931 20
92 0  85.1112 20
93 0  85.1255 20
94 0  85.1407 20
95 0  85.1546 20
96 0  85.1689 20
97 0  85.1832 20
98 0  85.1966 20
99 0  85.2102 20
100 0  85.2213 20
101 0  85.2323 20
102 0  85.2341 20
103 0  85.1508 20
104 0  85.2497 20
105 0  85.2616 20
106 0  85.2704 20
107 0  85.288 20
108 0  85.2979 20
109 0  85.3065 20
110 0  85.314 20
111 0  85.3215 20
112 0  85.3294 20
113 0  85.3761 20
114 0  85.3824 20
115 0  85.3861 20
116 0  85.3869 20
117 0  85.3912 20
118 0  85.394 20
119 0  85.392 20
120 0  85.3976 20
121 0  85.4032 20
122 0  85.4042 20
123 0  85.4074 20
124 0  85.4068 20
125 0  85.4102 20
126 0  85.3719 20
127 0  85.4104 20
128 0  85.4064 20
129 0  85.406 20
130 0  85.3962 20
131 0  85.3864 20
132 0  85.4001 20
133 0  85.3985 20
134 0  85.3979 20
135 0  85.3949 20
136 0  85.4361 20
137 0  85.4307 20
138 0  85.1125 20
139 0  85.1118 20
140 0  85.122 20
141 0  85.1323 20
142 0  85.1375 20
143 0  85.1397 20
144 0  85.1437 20
145 0  85.1477 20
146 0  85.1556 20
147 0  85.1593 20
148 0  85.1625 20
149 0  85.1656 20
150 0  85.168 20
151 0  85.1705 20
152 0  85.1723 20
153 0  85.1733 20
154 0  85.1746 20
155 0  85.1764 20
156 0  85.1766 20
157 0  85.177 20
158 0  85.1769 20
159 0  85.1789 20
160 0  85.1764 20
161 0  85.1739 20
162 0  85.1753 20
163 0  85.1733 20
164 0  85.1731 20
165 0  85.6299 20
166 0  85.641 20
167 0  85.6514 20
168 0  85.6635 20
169 0  85.6662 20
170 0  85.6716 20
171 0  85.6769 20
172 0  85.6793 20
173 0  85.6818 20
174 0  85.684 20
175 0  85.6873 20
176 0  85.6853 20
177 0  85.6854 20
178 0  85.6751 20
179 0  85.6724 20
180 0  85.6761 20
181 0  85.6797 20
182 0  85.6749 20
183 0  85.6719 20
184 0  85.6685 20
185 0  85.6992 20
186 0  85.6949 20
187 0  85.6918 20
188 0  85.6868 20
189 0  85.6808 20
190 0  85.6744 20
191 0  85.668 20
192 0  85.6603 20
193 0  85.6512 20
194 0  85.6449 20
195 0  85.6357 20
196 0  85.6266 20
197 0  85.6169 20
198 0  85.5881 20
199 0  85.577 20
200 0  85.566 20
201 0  85.555 20
202 0  85.5812 20
203 0  85.5678 20
204 0  85.5554 20
205 0  85.5415 20
206 0  85.5282 20
207 0  85.5145 20
208 0  85.4985 20
209 0  85.4843 20
210 0  85.4776 20
211 0  85.471 20
212 0  85.4528 20
213 0  85.4348 20
214 0  85.4181 20
215 0  84.9465 20
216 0  84.9427 20
217 0  85.3528 20
218 0  85.3595 20
219 0  85.3633 20
220 0  85.3698 20
221 0  85.3762 20
222 0  85.3785 20
223 0  85.3808 20
224 0  85.3816 20
225 0  85.3781 20
226 0  85.3781 20
227 0  85.3765 20
228 0  85.3749 20
229 0  85.3622 20
230 0  85.3633 20
231 0  85.3644 20
232 0  85.3613 20
233 0  85.3577 20
234 0  85.353 20
235 0  85.3484 20
236 0  85.3432 20
237 0  85.3131 20
238 0  85.3081 20
239 0  85.3072 20
240 0  85.2982 20
241 0  85.2892 20
242 0  85.281 20
243 0  85.2671 20
244 0  85.261 20
245 0  85.2538 20
246 0  85.2436 20
247 0  85.244 20
248 0  85.2337 20
249 0  85.2566 20
250 0  85.2457 20
251 0  85.2348 20
252 0  85.2227 20
253 0  85.2104 20
254 0  85.1978 20
255 0  85.185 20
256 0  85.1722 20
257 0  85.1583 20
258 0  85.1444 20
259 0  85.1297 20
260 0  85.1121 20
261 0  85.0945 20
262 0  85.0784 20
263 0  85.0875 20
264 0  85.0684 20
265 0  85.0479 20
266 0  85.0205 20
267 0  85.0016 20
268 0  84.9906 20
269 0  84.9791 20
270 0  84.9627 20
271 0  84.9464 20
272 0  84.9261 20
273 0  84.9055 20
274 0  84.884 20
275 0  84.8626 20
276 0  84.8402 20
277 0  84.8175 20
278 0  84.7941 20
279 0  84.7642 20
280 0  84.7493 20
281 0  84.7345 20
282 0  84.7083 20
283 0  84.6802 20
284 0  84.6543 20
285 0  84.6271 20
286 0  84.5966 20
287 0  84.5804 20
288 0  84.5454 20
289 0  84.217 20
290 0  84.2076 20
291 0  84.1982 20
292 0  84.1808 20
293 0  84.156 20
294 0  84.1453 20
295 0  84.1271 20
296 0  84.0965 20
297 0  84.0945 20
298 0  84.0755 20
299 0  84.0481 20
300 0  84.0338 20
301 0  84.0195 20
302 0  83.9922 20
303 0  83.98 20
304 0  83.9602 20
305 0  83.9409 20
306 0  83.8187 20
307 0  83.7976 20
308 0  83.7768 20
309 0  83.7416 20
310 0  83.7097 20
311 0  83.6779 20
312 0  83.6662 20
313 0  83.6427 20
314 0  83.6308 20
315 0  83.6111 20
316 0  83.5888 20
317 0  83.5698 20
318 0  83.5464 20
319 0  83.5225 20
320 0  83.4998 20
321 0  83.4772 20
322 0  83.4559 20
323 0  83.4319 20
324 0  83.3635 20
325 0  83.3021 20
326 0  83.2768 20
327 0  83.2645 20
328 0  83.2403 20
329 0  83.3236 20
330 0  83.2979 20
331 0  83.2721 20
332 0  83.2446 20
333 0  83.2237 20
334 0  83.1969 20
335 0  83.1686 20
336 0  83.1317 20
337 0  83.1056 20
338 0  83.08 20
339 0  83.053 20
340 0  83.0256 20
341 0  82.9983 20
342 0  82.9705 20
343 0  82.9308 20
344 0  82.9026 20
345 0  82.813 20
346 0  82.6846 20
347 0  82.6538 20
348 0  82.7253 20
349 0  82.6961 20
350 0  82.6666 20
351 0  82.6371 20
352 0  82.6625 20
353 0  82.626 20
354 0  83.0774 20
355 0  83.0574 20
356 0  83.0381 20
357 0  83.0173 20
358 0  82.997 20
359 0  82.9835 20
360 0  82.9632 20
361 0  82.943 20
362 0  82.8114 20
363 0  82.9676 20
364 0  82.955 20
365 0  82.8756 20
366 0  82.8249 20
367 0  82.8172 20
368 0  82.7376 20
369 0  83.0789 20
370 0  83.0659 20
371 0  83.0528 20
372 0  83.0399 20
373 0  83.0933 20
374 0  83.0807 20
375 0  83.0666 20
376 0  83.0444 20
377 0  83.0873 20
378 0  83.0713 20
379 0  83.0531 20
380 0  83.0403 20
381 0  83.0275 20
382 0  83.0099 20
383 0  82.9912 20
384 0  82.976 20
385 0  82.954 20
386 0  82.9349 20
387 0  82.9167 20
388 0  82.8974 20
389 0  82.8758 20
390 0  82.8543 20
391 0  82.8328 20
392 0  82.8228 20
393 0  82.8034 20
394 0  82.783 20
395 0  82.7601 20
396 0  82.6982 20
397 0  82.7128 20
398 0  82.688 20
399 0  82.6275 20
400 0  82.6225 20
401 0  82.6175 20
402 0  82.5938 20
403 0  82.5712 20
404 0  82.5135 20
405 0  82.491 20
406 0  82.4672 20
407 0  82.3426 20
408 0  82.3171 20
409 0  82.2903 20
410 0  82.2161 20
411 0  82.142 20
412 0  82.1139 20
413 0  82.1781 20
414 0  82.1505 20
415 0  82.1282 20
416 0  82.1007 20
417 0  82.3932 20
418 0  82.3725 20
419 0  82.3495 20
420 0  82.3103 20
421 0  82.2711 20
422 0  82.2472 20
423 0  82.2266 20
424 0  82.2066 20
425 0  82.1822 20
426 0  82.1542 20
