31 0  80.9628 20
32 0  81.0014 20
33 0  81.0605 20
34 0  81.0991 20
35 0  81.1363 20
36 0  81.176 20
37 0  81.7219 20
38 0  81.922 20
39 0  81.9567 20
40 0  81.9755 20
41 0  81.9943 20
42 0  82.0291 20
43 0  82.0654 20
44 0  82.1014 20
45 0  82.1338 20
46 0  82.1659 20
47 0  82.1969 20
48 0  82.228 20
49 0  82.2586 20
50 0  82.2917 20
51 0  82.3249 20
52 0  82.354 20
53 0  82.3826 20
54 0  82.4111 20
55 0  82.4388 20
56 0  82.4639 20
57 0  82.491 20
58 0  82.5383 20
59 0  82.5654 20
60 0  82.5904 20
61 0  82.6155 20
62 0  82.6408 20
63 0  82.663 20
64 0  82.6897 20
65 0  82.7143 20
66 0  82.7359 20
67 0  82.7599 20
68 0  82.7832 20
69 0  82.8011 20
70 0  82.8191 20
71 0  82.8371 20
72 0  82.8602 20
73 0  82.8805 20
74 0  82.9033 20
75 0  82.9263 20
76 0  82.9441 20
77 0  82.9627 20
78 0  82.9051 20
79 0  82.9188 20
80 0  82.9425 20
81 0  82.9662 20
82 0  82.9713 20
83 0  82.8714 20
84 0  82.996 20
85 0  83.0124 20
86 0  83.0784 20
87 0  83.0976 20
88 0  83.1129 20
89 0  83.0173 20
90 0  83.0929 20
91 0  83.1685 20
92 0  82.8443 20
93 0  82.8597 20
94 0  82.882 20
95 0  82.9089 20
96 0  82.9272 20
97 0  82.9446 20
98 0  82.9618 20
99 0  82.9787 20
100 0  83.1561 20
101 0  83.3342 20
102 0  83.359 20
103 0  83.4351 20
104 0  83.4629 20
105 0  83.4881 20
106 0  83.5124 20
107 0  83.532 20
108 0  83.554 20
109 0  83.5762 20
110 0  83.5968 20
111 0  83.6174 20
112 0  83.6302 20
113 0  83.6497 20
114 0  83.6686 20
115 0  83.6863 20
116 0  83.7077 20
117 0  83.7253 20
118 0  83.7411 20
119 0  83.7586 20
120 0  83.774 20
121 0  83.7895 20
122 0  83.8406 20
123 0  83.8207 20
124 0  83.8717 20
125 0  83.8874 20
126 0  83.9014 20
127 0  83.8777 20
128 0  83.9279 20
129 0  83.9417 20
130 0  83.9518 20
131 0  83.9618 20
132 0  83.978 20
133 0  83.988 20
134 0  83.9949 20
135 0  84.0054 20
136 0  84.0147 20
137 0  84.0264 20
138 0  84.0356 20
139 0  84.045 20
140 0  84.0478 20
141 0  84.0505 20
142 0  84.0559 20
143 0  84.0657 20
144 0  84.0309 20
145 0  84.039 20
146 0  84.0472 20
147 0  84.0531 20
148 0  84.0576 20
149 0  84.0626 20
150 0  84.0671 20
151 0  84.0717 20
152 0  84.075 20
153 0  84.0792 20
154 0  84.0748 20
155 0  84.0831 20
156 0  84.0834 20
157 0  84.0765 20
158 0  84.0809 20
159 0  84.0795 20
160 0  84.0777 20
161 0  84.0759 20
162 0  83.6547 20
163 0  83.6623 20
164 0  83.6702 20
165 0  83.7035 20
166 0  83.6295 20
167 0  83.6327 20
168 0  83.7025 20
169 0  83.7097 20
170 0  83.7168 20
171 0  83.7238 20
172 0  83.7316 20
173 0  83.7388 20
174 0  84.2457 20
175 0  84.3811 20
176 0  84.4131 20
177 0  84.431 20
178 0  84.4381 20
179 0  84.4542 20
180 0  84.4689 20
181 0  84.4837 20
182 0  84.4672 20
183 0  84.5106 20
184 0  84.5606 20
185 0  84.6065 20
186 0  84.6209 20
187 0  84.639 20
188 0  84.6425 20
189 0  84.6568 20
190 0  84.67 20
191 0  84.6832 20
192 0  84.6949 20
193 0  84.7094 20
194 0  84.721 20
195 0  84.732 20
196 0  84.7427 20
197 0  84.751 20
198 0  84.7606 20
199 0  84.7709 20
200 0  84.7767 20
201 0  84.7824 20
202 0  84.7909 20
203 0  84.7988 20
204 0  84.8075 20
205 0  84.8149 20
206 0  84.8196 20
207 0  84.8281 20
208 0  84.8332 20
209 0  84.8408 20
210 0  84.8472 20
211 0  84.8536 20
212 0  84.8584 20
213 0  84.8621 20
214 0  84.8698 20
215 0  84.8737 20
216 0  84.8769 20
217 0  84.8793 20
218 0  84.8819 20
219 0  84.8839 20
220 0  84.8854 20
221 0  84.8869 20
222 0  84.8872 20
223 0  84.8877 20
224 0  84.8877 20
225 0  84.8865 20
226 0  84.8887 20
227 0  84.8881 20
228 0  84.8863 20
229 0  84.8922 20
230 0  84.888 20
231 0  84.8838 20
232 0  84.8799 20
233 0  84.8767 20
234 0  84.8724 20
235 0  84.8661 20
236 0  84.8582 20
237 0  84.8551 20
238 0  84.8488 20
239 0  84.8374 20
240 0  84.8315 20
241 0  84.8256 20
242 0  84.8144 20
243 0  84.8057 20
244 0  84.4939 20
245 0  84.491 20
246 0  84.5149 20
247 0  84.5229 20
248 0  84.5245 20
249 0  84.5269 20
250 0  84.5275 20
251 0  84.5282 20
252 0  84.4956 20
253 0  84.5329 20
254 0  84.5338 20
255 0  84.5029 20
256 0  84.501 20
257 0  84.4998 20
258 0  84.5001 20
259 0  84.5307 20
260 0  84.5311 20
261 0  84.5316 20
262 0  84.5313 20
263 0  84.5293 20
264 0  84.9257 20
265 0  84.9349 20
266 0  84.9451 20
267 0  84.9558 20
268 0  84.9621 20
269 0  84.9679 20
270 0  84.9748 20
271 0  84.9817 20
272 0  84.9808 20
273 0  84.9858 20
274 0  84.9897 20
275 0  84.9926 20
276 0  84.9939 20
277 0  84.9657 20
278 0  84.9955 20
279 0  84.9964 20
280 0  84.9977 20
281 0  84.999 20
282 0  84.9981 20
283 0  84.997 20
284 0  85.0235 20
285 0  85.0216 20
286 0  85.0192 20
287 0  85.0158 20
288 0  85.0133 20
289 0  85.0097 20
290 0  85.0052 20
291 0  85.0008 20
292 0  84.9959 20
