31 0  72.2587 18
32 0  72.2942 18
33 0  72.3353 18
34 0  72.448 18
35 0  72.0248 18
36 0  71.8363 18
37 0  71.8806 18
38 0  71.9232 18
39 0  71.9642 18
40 0  72.0037 18
41 0  72.0433 18
42 0  72.0819 18
43 0  72.1189 18
44 0  72.1653 18
45 0  72.1907 18
46 0  72.2293 18
47 0  72.2701 18
48 0  72.3043 18
49 0  72.3374 18
50 0  72.4333 18
51 0  72.5294 18
52 0  72.563 18
53 0  72.5947 18
54 0  72.6261 18
55 0  72.6551 18
56 0  72.6792 18
57 0  72.7066 18
58 0  72.7395 18
59 0  72.7627 18
60 0  72.7903 18
61 0  72.8179 18
62 0  72.839 18
63 0  72.8694 18
64 0  72.8933 18
65 0  72.9149 18
66 0  72.9356 18
67 0  72.5918 18
68 0  72.6247 18
69 0  72.6566 18
70 0  72.6578 18
71 0  72.6591 18
72 0  72.6945 18
73 0  72.4607 18
74 0  72.8891 18
75 0  72.9171 18
76 0  72.9445 18
77 0  72.9735 18
78 0  73.0003 18
79 0  73.0262 18
80 0  73.1015 18
81 0  73.1769 18
82 0  73.2029 18
83 0  73.2278 18
84 0  73.2383 18
85 0  73.276 18
86 0  73.2491 18
87 0  73.2507 18
88 0  73.2938 18
89 0  73.4614 18
90 0  73.5288 18
91 0  73.5962 18
92 0  73.6161 18
93 0  73.6371 18
94 0  73.6563 18
95 0  73.6737 18
96 0  73.7008 18
97 0  73.7197 18
98 0  73.7363 18
99 0  73.76 18
100 0  73.7659 18
101 0  73.7718 18
102 0  72.9483 18
103 0  72.9742 18
104 0  73 18
105 0  73.0267 18
106 0  73.1177 18
107 0  73.1437 18
108 0  73.1684 18
109 0  73.1918 18
110 0  72.9781 18
111 0  72.7653 18
112 0  72.842 18
113 0  72.8789 18
114 0  72.9169 18
115 0  72.9523 18
116 0  73.0522 18
117 0  73.0865 18
118 0  73.1208 18
119 0  73.1281 18
120 0  73.4989 18
121 0  73.8726 18
122 0  73.9172 18
123 0  73.9574 18
124 0  73.9984 18
125 0  74.0389 18
126 0  73.9098 18
127 0  74.1198 18
128 0  74.1581 18
129 0  74.1895 18
130 0  74.2264 18
131 0  74.2633 18
132 0  74.2997 18
133 0  74.3348 18
134 0  74.3663 18
135 0  74.4007 18
136 0  74.4382 18
137 0  74.423 18
138 0  74.4565 18
139 0  74.5361 18
140 0  74.5675 18
141 0  74.5989 18
142 0  74.6294 18
143 0  74.6598 18
144 0  74.7396 18
145 0  74.7697 18
146 0  74.7992 18
147 0  74.8282 18
148 0  74.8568 18
149 0  74.8869 18
150 0  74.9141 18
151 0  74.9414 18
152 0  74.9682 18
153 0  74.9956 18
154 0  75.0235 18
155 0  75.0492 18
156 0  75.0743 18
157 0  75.1055 18
158 0  75.13 18
159 0  75.154 18
160 0  75.1497 18
161 0  75.1454 18
162 0  75.1844 18
163 0  75.2688 18
164 0  75.7546 18
165 0  75.7845 18
166 0  75.8171 18
167 0  75.8453 18
168 0  75.4993 18
169 0  75.9014 18
170 0  75.9276 18
171 0  75.9538 18
172 0  75.9587 18
173 0  75.9835 18
174 0  76.0065 18
175 0  76.0338 18
176 0  75.9773 18
177 0  76.0004 18
178 0  76.024 18
179 0  76.0465 18
180 0  76.0671 18
181 0  76.0878 18
182 0  76.1104 18
183 0  76.4718 18
184 0  76.4999 18
185 0  76.4233 18
186 0  76.5487 18
187 0  76.5759 18
188 0  76.6023 18
189 0  76.6579 18
190 0  76.6828 18
191 0  76.7077 18
192 0  76.7409 18
193 0  76.7634 18
194 0  76.8098 18
195 0  76.8782 18
196 0  76.9001 18
197 0  76.9226 18
198 0  76.944 18
199 0  76.965 18
200 0  77.0027 18
201 0  77.0404 18
202 0  77.0623 18
203 0  77.0809 18
204 0  77.0999 18
205 0  77.1091 18
206 0  77.1276 18
207 0  77.1453 18
208 0  77.1626 18
209 0  77.1778 18
210 0  77.1944 18
211 0  77.211 18
212 0  77.2281 18
