31 0  48.5887 20
32 0  48.5846 20
33 0  48.5807 20
34 0  48.5701 20
35 0  48.566 20
36 0  48.5614 20
37 0  48.5562 20
38 0  48.5516 20
39 0  48.5464 20
40 0  48.541 20
41 0  48.5356 20
42 0  48.5298 20
43 0  48.5238 20
44 0  48.518 20
45 0  48.5104 20
46 0  48.5054 20
47 0  48.62 20
48 0  48.6161 20
49 0  48.6124 20
50 0  48.6083 20
51 0  48.6043 20
52 0  48.5995 20
53 0  48.5006 20
54 0  48.5174 20
55 0  48.516 20
56 0  48.5145 20
57 0  48.5126 20
58 0  48.5098 20
59 0  48.5077 20
60 0  48.5162 20
61 0  48.5247 20
62 0  48.5234 20
63 0  48.5206 20
64 0  48.5186 20
65 0  48.5157 20
66 0  48.4955 20
67 0  48.5081 20
68 0  48.4987 20
69 0  48.4945 20
70 0  48.4912 20
71 0  48.4879 20
72 0  48.4848 20
73 0  48.4804 20
74 0  48.4762 20
75 0  48.472 20
76 0  48.468 20
77 0  48.4632 20
78 0  48.4584 20
79 0  48.4546 20
80 0  48.4387 20
81 0  48.4229 20
82 0  48.4358 20
83 0  48.4308 20
84 0  48.4198 20
85 0  48.4141 20
86 0  48.4081 20
87 0  48.4024 20
88 0  48.3867 20
89 0  48.3815 20
90 0  48.3749 20
91 0  48.3683 20
92 0  48.362 20
93 0  48.3548 20
94 0  48.3479 20
95 0  48.3404 20
96 0  48.3353 20
97 0  48.329 20
98 0  48.3206 20
99 0  48.3129 20
100 0  48.3053 20
101 0  48.2976 20
102 0  48.2893 20
103 0  48.2811 20
104 0  48.2577 20
105 0  48.248 20
106 0  48.2532 20
107 0  48.2446 20
108 0  48.2361 20
109 0  48.2187 20
110 0  48.2129 20
111 0  48.2072 20
112 0  48.1719 20
113 0  48.1665 20
114 0  48.1816 20
115 0  48.1716 20
116 0  48.1612 20
117 0  48.0531 20
118 0  48.0342 20
119 0  48.0388 20
120 0  48.0332 20
121 0  48.0276 20
122 0  48.0208 20
123 0  48.0139 20
124 0  48.0073 20
125 0  48.0009 20
126 0  47.9803 20
127 0  47.9867 20
128 0  47.9808 20
129 0  47.9738 20
130 0  47.9668 20
131 0  47.9599 20
132 0  47.9525 20
133 0  47.9453 20
134 0  47.9393 20
135 0  47.932 20
136 0  47.9137 20
137 0  47.9153 20
138 0  47.9079 20
139 0  47.893 20
140 0  47.8856 20
141 0  47.8782 20
142 0  47.873 20
143 0  47.8648 20
144 0  47.8574 20
145 0  47.8497 20
146 0  47.8423 20
147 0  47.8346 20
148 0  47.8267 20
149 0  47.8192 20
150 0  47.8115 20
151 0  47.8037 20
152 0  47.7982 20
153 0  47.7907 20
154 0  47.7818 20
155 0  47.7657 20
156 0  47.7561 20
157 0  47.7489 20
158 0  47.7408 20
159 0  47.7349 20
160 0  47.7276 20
161 0  47.7202 20
162 0  47.7125 20
163 0  47.7032 20
164 0  47.6974 20
165 0  47.7105 20
166 0  47.7051 20
167 0  47.6979 20
168 0  47.6923 20
169 0  47.6851 20
170 0  47.6778 20
171 0  47.6705 20
172 0  47.6634 20
173 0  47.6562 20
174 0  47.6487 20
175 0  47.6416 20
176 0  47.6348 20
177 0  47.6273 20
178 0  47.6205 20
179 0  47.6134 20
180 0  47.6148 20
181 0  47.6162 20
182 0  47.6065 20
183 0  47.602 20
184 0  47.5949 20
185 0  47.5819 20
186 0  47.5783 20
187 0  47.5667 20
188 0  47.6873 20
189 0  47.6879 20
190 0  47.6853 20
191 0  47.6826 20
192 0  47.6798 20
193 0  47.6769 20
194 0  47.6732 20
195 0  47.6685 20
196 0  47.7681 20
197 0  47.7683 20
198 0  47.7688 20
199 0  47.7694 20
200 0  47.7698 20
201 0  47.7702 20
202 0  47.7744 20
203 0  47.7744 20
204 0  47.7732 20
205 0  47.769 20
206 0  47.7684 20
207 0  47.7719 20
208 0  47.7666 20
209 0  47.7659 20
210 0  47.7666 20
211 0  47.7674 20
212 0  47.7658 20
213 0  47.7654 20
214 0  47.7642 20
215 0  47.7629 20
216 0  47.7654 20
217 0  47.7645 20
218 0  47.7585 20
219 0  47.7616 20
220 0  47.7586 20
221 0  47.7555 20
222 0  47.7312 20
223 0  47.7297 20
224 0  47.7279 20
225 0  47.7264 20
226 0  47.7141 20
227 0  47.7109 20
228 0  47.71 20
229 0  47.7079 20
230 0  47.7073 20
231 0  47.7067 20
232 0  47.7052 20
233 0  47.7038 20
234 0  47.6861 20
235 0  47.6844 20
236 0  47.6827 20
237 0  47.6813 20
238 0  47.6843 20
239 0  47.6828 20
240 0  47.6667 20
241 0  47.6506 20
242 0  47.6955 20
243 0  47.6925 20
244 0  47.8029 20
245 0  47.8036 20
246 0  47.813 20
247 0  47.813 20
248 0  47.8128 20
249 0  47.8125 20
250 0  47.8119 20
251 0  47.8113 20
252 0  47.8119 20
253 0  47.811 20
254 0  47.8095 20
255 0  47.8136 20
256 0  47.8771 20
257 0  47.8566 20
258 0  47.8105 20
259 0  47.8087 20
260 0  47.8576 20
261 0  47.9066 20
262 0  47.907 20
263 0  47.907 20
264 0  47.9073 20
265 0  47.9062 20
266 0  47.9076 20
267 0  47.9057 20
268 0  47.9478 20
269 0  47.945 20
270 0  47.8501 20
271 0  47.7554 20
272 0  47.8891 20
273 0  47.887 20
274 0  47.8819 20
275 0  47.8764 20
276 0  47.8703 20
277 0  47.8642 20
278 0  47.8574 20
279 0  47.8499 20
280 0  47.8336 20
281 0  47.8173 20
282 0  47.7344 20
283 0  47.7271 20
284 0  47.7148 20
285 0  47.707 20
286 0  47.694 20
287 0  47.6846 20
288 0  47.5716 20
289 0  47.5617 20
290 0  47.5549 20
291 0  47.5482 20
292 0  47.4084 20
293 0  47.5697 20
294 0  47.5588 20
295 0  47.5473 20
296 0  47.5385 20
297 0  47.5258 20
298 0  47.5107 20
299 0  47.1746 20
300 0  47.1728 20
301 0  47.171 20
302 0  47.1662 20
303 0  47.1615 20
304 0  47.308 20
305 0  47.3065 20
306 0  47.3057 20
307 0  47.3023 20
308 0  47.2984 20
309 0  47.2948 20
310 0  47.2902 20
311 0  47.2856 20
312 0  47.2441 20
313 0  47.2745 20
314 0  47.3046 20
315 0  47.3009 20
316 0  47.2903 20
317 0  47.2864 20
318 0  47.2783 20
319 0  47.24 20
320 0  47.2449 20
321 0  47.2498 20
322 0  47.2427 20
323 0  47.1827 20
324 0  47.2208 20
325 0  47.2088 20
326 0  47.1973 20
327 0  47.2766 20
328 0  47.232 20
329 0  47.2938 20
330 0  47.2839 20
331 0  47.274 20
332 0  47.2658 20
333 0  47.2562 20
334 0  47.247 20
335 0  47.2374 20
336 0  47.1954 20
337 0  47.224 20
338 0  47.2147 20
339 0  47.2043 20
340 0  47.1946 20
341 0  47.1849 20
342 0  47.1765 20
343 0  47.1044 20
344 0  0 20
345 0  0 20
346 0  0 20
347 0  0 20
348 0  0 20
349 0  0 20
350 0  0 20
351 0  0 20
352 0  0 20
353 0  0 20
354 0  0 20
355 0  0 20
356 0  0 20
357 0  0 20
358 0  0 20
359 0  0 20
360 0  0 20
361 0  0 20
362 0  0 20
363 0  0 20
364 0  0 20
365 0  0 20
366 0  0 20
367 0  0 20
368 0  0 20
369 0  0 20
370 0  0 20
371 0  0 20
372 0  0 20
373 0  0 20
374 0  0 20
375 0  0 20
376 0  0 20
377 0  0 20
378 0  0 20
379 0  0 20
380 0  0 20
381 0  0 20
382 0  0 20
383 0  0 20
384 0  0 20
385 0  0 20
386 0  0 20
387 0  0 20
388 0  0 20
389 0  0 20
390 0  0 20
391 0  0 20
392 0  0 20
393 0  0 20
394 0  0 20
395 0  0 20
396 0  0 20
397 0  0 20
398 0  0 20
399 0  0 20
400 0  0 20
401 0  0 20
402 0  0 20
403 0  0 20
404 0  56.2818 20
405 0  56.3423 20
406 0  56.3146 20
407 0  56.3221 20
408 0  55.3946 20
409 0  55.1973 20
410 0  54.8131 20
411 0  54.4329 20
412 0  55.4118 20
413 0  55.4041 20
414 0  55.3998 20
415 0  55.3917 20
416 0  55.3702 20
417 0  55.3598 20
418 0  55.3477 20
419 0  55.0325 20
420 0  55.0241 20
421 0  55.0157 20
422 0  55.2583 20
423 0  55.2264 20
424 0  55.2171 20
425 0  54.3919 20
426 0  55.218 20
427 0  55.2068 20
428 0  54.408 20
429 0  55.1418 20
430 0  55.151 20
431 0  55.1602 20
432 0  54.2769 20
433 0  55.1444 20
434 0  55.1404 20
435 0  54.2965 20
436 0  54.4141 20
437 0  54.2933 20
438 0  54.2902 20
439 0  54.1044 20
440 0  54.1082 20
441 0  54.112 20
442 0  54.7083 20
443 0  54.2762 20
444 0  54.3004 20
445 0  54.2926 20
446 0  54.3977 20
447 0  54.4106 20
448 0  54.2329 20
449 0  54.2266 20
450 0  54.4737 20
451 0  54.7224 20
452 0  54.2479 20
453 0  54.2477 20
454 0  54.2478 20
455 0  54.2468 20
456 0  54.2585 20
457 0  54.2515 20
458 0  54.0941 20
459 0  53.9859 20
460 0  53.9896 20
461 0  53.9933 20
462 0  53.628 20
463 0  53.629 20
464 0  53.6287 20
465 0  53.3486 20
466 0  53.6225 20
467 0  53.6219 20
468 0  54.4155 20
469 0  54.4134 20
470 0  54.353 20
471 0  54.2926 20
472 0  54.2544 20
473 0  54.6928 20
474 0  54.6874 20
475 0  54.7808 20
476 0  54.7723 20
477 0  54.6712 20
478 0  54.5772 20
479 0  54.5751 20
480 0  54.5771 20
481 0  54.5792 20
482 0  54.5723 20
483 0  54.5807 20
484 0  54.5804 20
485 0  54.5762 20
486 0  54.5694 20
487 0  54.5284 20
488 0  54.517 20
489 0  54.551 20
490 0  54.3759 20
491 0  54.2016 20
492 0  54.5307 20
493 0  54.5289 20
494 0  54.5223 20
495 0  54.4872 20
496 0  54.4874 20
497 0  54.465 20
498 0  54.4557 20
499 0  54.4466 20
500 0  54.5123 20
501 0  54.5782 20
502 0  54.5747 20
503 0  54.5722 20
504 0  54.4112 20
505 0  54.4119 20
506 0  54.3997 20
507 0  54.4113 20
508 0  54.4243 20
509 0  54.4215 20
510 0  54.4174 20
511 0  54.4133 20
512 0  54.4103 20
513 0  54.4043 20
514 0  54.3894 20
515 0  54.3843 20
516 0  54.127 20
517 0  54.1196 20
518 0  54.3479 20
519 0  54.3419 20
520 0  54.3495 20
521 0  54.3571 20
522 0  54.3779 20
523 0  54.3694 20
524 0  54.3559 20
525 0  54.3479 20
526 0  54.3251 20
527 0  54.3213 20
528 0  54.3121 20
529 0  54.3018 20
530 0  54.2728 20
531 0  54.2439 20
532 0  54.2961 20
533 0  54.2897 20
534 0  54.2977 20
535 0  54.0434 20
536 0  54.4663 20
537 0  54.2684 20
538 0  54.255 20
539 0  54.2745 20
540 0  54.2686 20
541 0  54.2626 20
542 0  54.2797 20
543 0  54.1686 20
544 0  54.1814 20
545 0  54.1905 20
546 0  54.1999 20
547 0  54.2276 20
548 0  54.225 20
549 0  54.2383 20
550 0  54.2101 20
551 0  54.1819 20
552 0  54.1993 20
553 0  54.2035 20
554 0  54.1632 20
555 0  54.1755 20
556 0  54.2914 20
557 0  54.2176 20
558 0  54.0148 20
559 0  53.8768 20
560 0  53.9523 20
561 0  54.0281 20
562 0  53.6007 20
563 0  53.6407 20
564 0  54.0738 20
