31 0  71.7585 19
32 0  71.7446 19
33 0  71.7306 19
34 0  71.728 19
35 0  71.7185 19
36 0  71.7272 19
37 0  71.7138 19
38 0  71.7197 19
39 0  71.7101 19
40 0  71.7041 19
41 0  71.6981 19
42 0  72.1855 19
43 0  72.2139 19
44 0  72.1924 19
45 0  72.2071 19
46 0  72.1991 19
47 0  72.2061 19
48 0  72.0904 19
49 0  72.0959 19
50 0  72.1081 19
51 0  72.1203 19
52 0  72.1207 19
53 0  72.154 19
54 0  72.1439 19
55 0  72.1431 19
56 0  72.1299 19
57 0  72.12 19
58 0  72.1178 19
59 0  72.1099 19
60 0  72.1064 19
61 0  72.103 19
62 0  72.1068 19
63 0  72.0846 19
64 0  72.2295 19
65 0  72.2152 19
66 0  72.1925 19
67 0  72.0766 19
68 0  72.0783 19
69 0  72.069 19
70 0  71.9287 19
71 0  71.7888 19
72 0  72.0606 19
73 0  72.0522 19
74 0  71.8914 19
75 0  72.0684 19
76 0  72.0719 19
77 0  72.0457 19
78 0  72.0445 19
79 0  71.9996 19
80 0  71.9755 19
81 0  71.9515 19
82 0  71.9435 19
83 0  71.9566 19
84 0  72.018 19
85 0  72.0223 19
86 0  72.0155 19
87 0  71.9854 19
88 0  71.9585 19
89 0  71.9766 19
90 0  71.9481 19
91 0  71.9196 19
92 0  71.9022 19
93 0  71.8918 19
94 0  71.8727 19
95 0  71.8666 19
96 0  71.7026 19
97 0  71.7319 19
98 0  71.8555 19
99 0  71.8445 19
100 0  71.8391 19
101 0  71.8336 19
102 0  71.5593 19
103 0  71.6449 19
104 0  71.6359 19
105 0  71.6622 19
106 0  71.6359 19
107 0  71.6542 19
108 0  71.6757 19
109 0  71.6773 19
110 0  71.6762 19
111 0  71.6752 19
112 0  71.7314 19
113 0  71.7103 19
114 0  71.7193 19
115 0  71.7148 19
116 0  71.7189 19
117 0  71.7375 19
118 0  71.7473 19
119 0  71.7616 19
120 0  71.767 19
121 0  71.7723 19
122 0  71.7493 19
123 0  71.7816 19
124 0  71.7545 19
125 0  71.7589 19
126 0  71.7533 19
127 0  71.751 19
128 0  71.7622 19
129 0  71.7259 19
130 0  71.6717 19
131 0  71.6175 19
132 0  71.6353 19
133 0  71.6131 19
134 0  71.5786 19
135 0  71.5981 19
136 0  71.537 19
137 0  71.3721 19
138 0  71.5746 19
139 0  71.5719 19
140 0  71.7577 19
141 0  71.9441 19
142 0  72.0775 19
143 0  72.0507 19
144 0  72.0139 19
145 0  72.0187 19
146 0  72.0298 19
147 0  72.0321 19
148 0  72.0435 19
149 0  72.0236 19
150 0  72.0426 19
151 0  72.0615 19
152 0  72.0714 19
153 0  72.0903 19
154 0  72.0754 19
155 0  72.0897 19
156 0  70.5627 19
157 0  70.5558 19
158 0  70.5445 19
159 0  70.6085 19
160 0  70.623 19
161 0  70.6374 19
162 0  70.6446 19
163 0  70.6458 19
164 0  70.64 19
165 0  70.6002 19
166 0  70.5983 19
167 0  70.6875 19
168 0  70.6822 19
169 0  70.689 19
170 0  70.69 19
171 0  70.691 19
172 0  70.5631 19
173 0  70.5586 19
174 0  70.7285 19
175 0  70.7351 19
176 0  72.4138 19
177 0  72.39 19
178 0  72.3932 19
179 0  72.4706 19
180 0  72.5137 19
181 0  72.5568 19
182 0  72.5667 19
183 0  72.5542 19
184 0  72.5683 19
185 0  72.6507 19
186 0  72.6359 19
187 0  72.6723 19
188 0  72.6698 19
189 0  72.6728 19
190 0  72.6776 19
191 0  72.6824 19
192 0  72.6383 19
193 0  72.6351 19
194 0  72.6519 19
195 0  72.6936 19
196 0  72.551 19
197 0  72.6757 19
198 0  72.6413 19
199 0  72.6536 19
200 0  72.6671 19
201 0  72.6807 19
202 0  72.68 19
203 0  72.6779 19
204 0  72.6682 19
205 0  72.1577 19
206 0  72.1606 19
207 0  72.1648 19
208 0  72.1764 19
209 0  72.1858 19
210 0  72.2729 19
211 0  72.3603 19
212 0  72.7269 19
213 0  72.7537 19
214 0  72.7661 19
215 0  72.7812 19
216 0  72.7663 19
217 0  72.7821 19
218 0  72.7945 19
219 0  72.8229 19
220 0  72.8334 19
221 0  72.844 19
222 0  72.8608 19
223 0  72.9014 19
224 0  72.9208 19
225 0  72.9501 19
226 0  72.9592 19
227 0  72.9503 19
228 0  72.9819 19
229 0  73.0245 19
230 0  73.0436 19
231 0  73.0628 19
232 0  73.0707 19
233 0  73.0848 19
234 0  73.0833 19
235 0  73.1157 19
236 0  73.1264 19
237 0  73.1367 19
238 0  73.1519 19
239 0  73.1596 19
240 0  73.1767 19
241 0  73.1939 19
242 0  73.2188 19
243 0  73.2286 19
244 0  73.2468 19
245 0  73.2497 19
246 0  73.2634 19
247 0  73.3028 19
248 0  73.2935 19
249 0  73.27 19
250 0  73.2977 19
251 0  73.3253 19
252 0  73.3005 19
253 0  73.2981 19
254 0  73.3091 19
255 0  73.2521 19
256 0  73.3683 19
257 0  73.0795 19
258 0  73.0891 19
259 0  73.0784 19
260 0  73.1295 19
261 0  73.1806 19
262 0  73.0948 19
263 0  73.239 19
264 0  73.3584 19
265 0  73.3597 19
266 0  73.377 19
267 0  73.3971 19
268 0  73.4104 19
269 0  73.4231 19
270 0  73.4329 19
271 0  73.4426 19
272 0  73.416 19
273 0  73.3956 19
274 0  73.4026 19
275 0  73.4302 19
276 0  73.4358 19
277 0  73.4761 19
278 0  73.4866 19
279 0  73.4961 19
280 0  73.5086 19
281 0  73.5212 19
282 0  73.5373 19
283 0  73.6245 19
284 0  73.6301 19
285 0  73.6477 19
286 0  73.6671 19
287 0  73.6841 19
288 0  73.693 19
289 0  73.7057 19
290 0  73.7167 19
291 0  73.7278 19
292 0  73.7361 19
293 0  73.765 19
294 -6.61635  1213.9 19
295 -7.03324  1181.31 19
296 -4.73119  1213.74 19
297 -7.64631  1176.06 19
298 -7.0601  1181.72 19
299 -7.60362  1171.4 19
300 -6.5186  1179.75 19
301 -7.29132  1167.09 19
302 -8.51709  1159.63 19
303 -8.07322  1158.85 19
304 8.88428  1139.61 19
305 -7.1222  1196.18 19
306 -6.5047  1188.27 19
307 -6.48115  1199.58 19
308 -8.85557  1162.95 19
309 -6.71545  1190.96 19
310 -6.35078  1188.66 19
311 -8.39262  1160.39 19
312 -6.89509  1192.84 19
313 -6.39629  1208.25 19
314 -6.20158  1210.73 19
315 -5.91505  1213.42 19
316 -5.39923  1219.64 19
317 -6.86845  1209.81 19
318 -6.85116  1208.97 19
319 -6.72268  1214.07 19
320 -5.01425  1243.02 19
321 -3.98586  1261.08 19
322 3.91039  1268.59 19
323 -3.83009  1276.01 19
324 -6.08468  1258.45 19
325 -4.66608  1274.16 19
326 2.90606  1290.6 19
327 -7.26388  1252.43 19
328 -6.24324  1253.37 19
329 -2.13055  1283.14 19
330 -2.35128  1292.41 19
331 2.8813  1281.48 19
