31 0  75.3821 20
32 0  75.3553 20
33 0  75.3781 20
34 0  75.3775 20
35 0  75.3764 20
36 0  75.4088 20
37 0  75.3974 20
38 0  75.415 20
39 0  75.4212 20
40 0  75.4134 20
41 0  75.4055 20
42 0  75.3303 20
43 0  75.4505 20
44 0  75.4616 20
45 0  75.5219 20
46 0  75.5318 20
47 0  75.5714 20
48 0  75.6 20
49 0  75.6003 20
50 0  75.6663 20
51 0  75.7325 20
52 0  75.7481 20
53 0  75.6443 20
54 0  75.653 20
55 0  75.7617 20
56 0  75.7656 20
57 0  75.675 20
58 0  75.6675 20
59 0  75.657 20
60 0  75.6678 20
61 0  75.6787 20
62 0  75.4925 20
63 0  75.7401 20
64 0  75.7345 20
65 0  75.7125 20
66 0  75.6931 20
67 0  75.71 20
68 0  75.7114 20
69 0  75.8359 20
70 0  75.7276 20
71 0  75.6196 20
72 0  75.889 20
73 0  75.8883 20
74 0  75.9004 20
75 0  75.8994 20
76 0  75.8974 20
77 0  75.5865 20
78 0  75.6513 20
79 0  75.5417 20
80 0  75.6142 20
81 0  75.6868 20
82 0  75.6989 20
83 0  75.8059 20
84 0  75.8055 20
85 0  75.8402 20
86 0  75.8486 20
87 0  75.7632 20
88 0  75.8851 20
89 0  75.8885 20
90 0  75.8519 20
91 0  75.8154 20
92 0  75.9379 20
93 0  75.9363 20
94 0  75.9472 20
95 0  75.8338 20
96 0  75.9509 20
97 0  75.9681 20
98 0  75.9657 20
99 0  75.8381 20
100 0  75.9139 20
101 0  75.9898 20
102 0  76.0437 20
103 0  76.0467 20
104 0  76.0546 20
105 0  76.0738 20
106 0  75.9012 20
107 0  76.0245 20
108 0  76.0458 20
109 0  76.0743 20
110 0  76.1283 20
111 0  76.1824 20
112 0  76.2124 20
113 0  76.0908 20
114 0  76.2166 20
115 0  76.2194 20
116 0  76.2327 20
117 0  76.2416 20
118 0  76.2302 20
119 0  76.241 20
120 0  76.2438 20
121 0  76.2467 20
122 0  76.2436 20
123 0  76.2463 20
124 0  76.2347 20
125 0  76.2402 20
126 0  76.1082 20
127 0  76.2422 20
128 0  76.2543 20
129 0  76.2563 20
130 0  76.2541 20
131 0  76.252 20
132 0  76.2982 20
133 0  76.2977 20
134 0  76.2971 20
135 0  76.2803 20
136 0  76.2822 20
137 0  76.2901 20
138 0  76.2228 20
139 0  76.2237 20
140 0  76.2528 20
141 0  76.282 20
142 0  76.2797 20
143 0  76.2838 20
144 0  76.2592 20
145 0  76.277 20
146 0  76.2618 20
147 0  76.3203 20
148 0  76.3104 20
149 0  76.2866 20
150 0  76.1742 20
151 0  76.062 20
152 0  76.0601 20
153 0  76.0607 20
154 0  76.7009 20
155 0  76.7105 20
156 0  76.6326 20
157 0  76.7127 20
158 0  76.7173 20
159 0  76.7248 20
160 0  76.7363 20
161 0  76.7478 20
162 0  76.5582 20
163 0  76.8015 20
164 0  76.7287 20
165 0  76.8117 20
166 0  76.8308 20
167 0  76.8371 20
168 0  76.8532 20
169 0  76.8571 20
170 0  76.8468 20
171 0  76.8364 20
172 0  76.8659 20
173 0  76.8697 20
174 0  76.8708 20
175 0  76.8755 20
176 0  76.8514 20
177 0  76.6674 20
178 0  76.9474 20
179 0  77.0141 20
180 0  77.0141 20
181 0  77.014 20
182 0  77.066 20
183 0  77.07 20
184 0  76.912 20
185 0  76.9832 20
186 0  76.985 20
187 0  76.7119 20
188 0  76.7267 20
189 0  76.9027 20
190 0  76.8909 20
191 0  76.879 20
192 0  76.8823 20
193 0  76.8829 20
194 0  76.8782 20
195 0  76.8785 20
196 0  76.8848 20
197 0  76.8843 20
198 0  76.8795 20
199 0  76.8796 20
200 0  76.8759 20
201 0  76.8722 20
202 0  76.8693 20
203 0  76.8642 20
204 0  76.8614 20
205 0  76.8315 20
206 0  76.8274 20
207 0  76.8129 20
208 0  77.1599 20
209 0  77.128 20
210 0  77.1325 20
211 0  77.1371 20
212 0  77.1448 20
213 0  77.143 20
214 0  77.1342 20
215 0  77.1405 20
216 0  77.1379 20
217 0  77.1258 20
218 0  77.3568 20
219 0  77.3618 20
220 0  77.3551 20
221 0  77.3484 20
222 0  77.3499 20
223 0  77.2584 20
224 0  77.3117 20
225 0  76.4261 20
226 0  76.3903 20
227 0  76.4338 20
228 0  76.4374 20
229 0  76.433 20
230 0  76.4408 20
231 0  76.4485 20
232 0  76.445 20
233 0  76.9775 20
234 0  76.9556 20
235 0  76.9672 20
236 0  76.8865 20
237 0  76.866 20
238 0  76.8882 20
239 0  76.8855 20
240 0  76.9032 20
241 0  76.9209 20
242 0  76.9277 20
243 0  76.8259 20
244 0  76.8276 20
245 0  76.8314 20
246 0  76.8339 20
247 0  76.3908 20
248 0  76.9302 20
249 0  76.9318 20
250 0  76.7168 20
251 0  76.5027 20
252 0  76.5151 20
253 0  76.5942 20
254 0  76.6031 20
255 0  76.6145 20
256 0  76.5639 20
257 0  76.6417 20
258 0  76.6467 20
259 0  76.6545 20
260 0  76.6649 20
261 0  76.6753 20
262 0  76.6746 20
263 0  76.6845 20
264 0  76.6814 20
265 0  76.6874 20
266 0  76.689 20
267 0  76.6852 20
268 0  76.6883 20
269 0  76.6892 20
270 0  76.6911 20
271 0  76.6931 20
272 0  76.6804 20
273 0  76.6929 20
274 0  76.6892 20
275 0  76.688 20
276 0  76.6873 20
277 0  76.6755 20
278 0  76.4971 20
279 0  76.5961 20
280 0  76.5927 20
281 0  76.5892 20
282 0  76.076 20
283 0  76.0954 20
284 0  76.0947 20
285 0  76.264 20
286 0  76.2748 20
287 0  76.2389 20
288 0  76.2517 20
289 0  76.2636 20
290 0  76.2883 20
291 0  76.3129 20
292 0  76.3184 20
293 0  76.3247 20
294 0  76.3282 20
295 0  76.3354 20
296 0  76.3371 20
297 0  76.5092 20
298 0  76.4939 20
299 0  76.4441 20
300 0  76.4532 20
301 0  76.4622 20
302 0  76.5431 20
303 0  76.5138 20
304 0  76.5169 20
305 0  77.5734 20
306 0  77.6014 20
307 0  77.6251 20
308 0  77.7177 20
309 0  77.7418 20
310 0  77.766 20
311 0  77.7903 20
312 0  77.8144 20
313 0  77.8474 20
314 0  77.9389 20
315 0  77.9719 20
316 0  77.9839 20
317 0  77.9384 20
318 0  77.9528 20
319 0  78.0479 20
320 0  78.0716 20
321 0  78.0953 20
322 0  78.109 20
323 0  79.5495 20
324 0  79.5758 20
325 0  79.6084 20
326 0  79.6365 20
327 0  79.6645 20
328 0  79.696 20
329 0  79.7026 20
330 0  79.7344 20
331 0  79.7662 20
332 0  79.7936 20
333 0  79.8166 20
334 0  79.849 20
335 0  79.8719 20
336 0  79.9513 20
337 0  79.9744 20
338 0  79.9957 20
339 0  80.0144 20
340 0  80.0342 20
341 0  80.054 20
342 0  80.0747 20
343 0  80.0953 20
344 0  80.1142 20
345 0  80.1326 20
346 0  80.1345 20
347 0  80.0017 20
348 0  80.0182 20
349 0  80.2351 20
350 0  80.2575 20
351 0  80.2799 20
352 0  80.3091 20
353 0  80.406 20
354 0  80.4162 20
355 0  80.4328 20
356 0  80.4466 20
357 0  80.4627 20
358 0  80.4693 20
359 0  80.4843 20
360 0  80.4947 20
361 0  80.5052 20
362 0  80.5158 20
363 0  80.5271 20
364 0  80.5365 20
365 0  80.5436 20
366 0  80.5514 20
367 0  80.5599 20
368 0  80.5203 20
369 0  80.5256 20
370 0  80.5321 20
371 0  80.5387 20
372 0  80.542 20
373 0  80.5496 20
374 0  80.5531 20
375 0  80.5558 20
376 0  80.5504 20
377 0  80.5709 20
378 0  80.5724 20
379 0  80.5415 20
380 0  80.5811 20
381 0  80.6206 20
382 0  80.6218 20
383 0  80.6239 20
384 0  80.6238 20
385 0  80.6217 20
386 0  80.5895 20
387 0  80.582 20
388 0  80.5223 20
389 0  80.515 20
390 0  80.5395 20
391 0  80.5641 20
392 0  80.482 20
393 0  80.4889 20
394 0  80.4895 20
395 0  80.4966 20
396 0  80.4927 20
397 0  80.4752 20
398 0  80.5361 20
399 0  80.5365 20
400 0  80.468 20
401 0  80.3996 20
402 0  80.3921 20
403 0  80.3841 20
404 0  80.37 20
405 0  80.3584 20
406 0  80.4082 20
407 0  80.3953 20
408 0  80.3928 20
409 0  80.3806 20
410 0  80.3721 20
411 0  80.3637 20
412 0  80.3554 20
413 0  80.3358 20
414 0  78.7005 20
415 0  78.6923 20
416 0  78.6857 20
417 0  78.6729 20
418 0  78.6702 20
419 0  78.6602 20
420 0  78.6488 20
421 0  78.6374 20
422 0  78.2008 20
423 0  78.2017 20
424 0  78.2009 20
425 0  78.1996 20
426 0  78.2427 20
427 0  78.1944 20
428 0  78.2481 20
429 0  78.2458 20
430 0  78.2413 20
431 0  78.2369 20
432 0  78.2314 20
433 0  78.2253 20
434 0  78.2173 20
435 0  78.2095 20
436 0  78.1965 20
437 0  78.1864 20
438 0  78.1762 20
439 0  78.1643 20
440 0  77.9278 20
441 0  77.6924 20
442 0  77.689 20
443 0  77.648 20
444 0  77.6791 20
445 0  77.6374 20
446 0  77.6686 20
447 0  77.6272 20
448 0  77.6571 20
449 0  77.6148 20
450 0  77.6047 20
451 0  77.5947 20
452 0  77.5844 20
453 0  77.5739 20
454 0  77.556 20
455 0  77.5472 20
456 0  77.5378 20
457 0  77.5271 20
458 0  77.5145 20
459 0  77.4607 20
460 0  77.4543 20
461 0  77.4478 20
462 0  77.4365 20
463 0  77.4274 20
464 0  77.4162 20
465 0  77.4022 20
466 0  77.3911 20
467 0  77.3727 20
468 0  77.359 20
469 0  77.848 20
470 0  77.8487 20
471 0  77.8493 20
472 0  77.8497 20
473 0  77.8471 20
474 0  78.8511 20
475 0  78.805 20
476 0  78.7272 20
477 0  78.7702 20
478 0  78.7548 20
479 0  78.7316 20
480 0  78.3975 20
481 0  78.0655 20
482 0  78.6835 20
483 0  78.6613 20
484 0  78.6394 20
485 0  78.6095 20
486 0  78.5821 20
487 0  78.4699 20
488 0  78.455 20
489 0  78.468 20
490 0  78.0533 20
491 0  77.6419 20
492 0  77.6226 20
493 0  78.3645 20
494 0  77.5942 20
495 0  77.587 20
496 0  77.574 20
497 0  77.5573 20
498 0  77.5423 20
499 0  77.528 20
500 0  77.5085 20
501 0  77.489 20
502 0  77.4809 20
503 0  77.4667 20
504 0  77.9924 20
505 0  77.9897 20
506 0  77.9866 20
507 0  77.979 20
508 0  77.9736 20
509 0  77.9623 20
510 0  77.9583 20
511 0  77.9544 20
512 0  77.9462 20
513 0  77.9376 20
514 0  77.9266 20
515 0  77.9199 20
516 0  77.8634 20
517 0  77.8525 20
518 0  77.8394 20
519 0  77.8301 20
520 0  77.8178 20
521 0  77.8055 20
522 0  77.7227 20
523 0  77.71 20
524 0  77.6514 20
525 0  77.6415 20
526 0  77.6277 20
527 0  77.6131 20
528 0  77.5956 20
529 0  77.5791 20
530 0  77.5201 20
531 0  77.4613 20
532 0  77.4452 20
533 0  77.4276 20
534 0  77.4098 20
535 0  77.3917 20
536 0  77.3793 20
537 0  77.3609 20
538 0  77.3422 20
539 0  77.3263 20
540 0  77.3057 20
541 0  77.2852 20
542 0  77.2694 20
543 0  77.2466 20
544 0  77.2259 20
545 0  77.2066 20
546 0  77.1754 20
547 0  77.1518 20
548 0  77.1278 20
549 0  77.1037 20
550 0  77.0755 20
551 0  77.0472 20
552 0  77.3708 20
553 0  77.3048 20
554 0  77.2939 20
555 0  77.275 20
556 0  77.2626 20
557 0  77.2466 20
558 0  77.2373 20
559 0  77.2238 20
560 0  77.208 20
561 0  77.1923 20
562 0  77.177 20
563 0  77.1598 20
564 0  77.1434 20
565 0  77.0752 20
566 0  77.0519 20
567 0  77.0394 20
568 0  77.013 20
569 0  76.8516 20
570 0  75.3114 20
571 0  73.817 20
572 0  76.9363 20
573 0  76.909 20
574 0  76.8798 20
575 0  76.7562 20
576 0  76.8867 20
577 0  76.8733 20
578 0  76.8514 20
579 0  76.8296 20
580 0  76.8075 20
581 0  76.7855 20
582 0  76.7609 20
583 0  76.7364 20
584 0  76.7144 20
585 0  76.6886 20
586 0  76.5833 20
587 0  76.5584 20
588 0  76.5312 20
589 0  76.5071 20
590 0  76.481 20
591 0  76.4548 20
592 0  76.4223 20
593 0  76.3972 20
594 0  76.3426 20
595 0  76.3422 20
596 0  76.3118 20
597 0  76.2813 20
598 0  76.2671 20
599 0  76.236 20
600 0  76.2062 20
601 0  76.1765 20
602 0  76.1431 20
603 0  76.1096 20
604 0  76.074 20
605 0  76.039 20
606 0  75.9919 20
607 0  75.9665 20
608 0  75.9023 20
609 0  75.4804 20
610 0  75.4544 20
611 0  75.4284 20
612 0  75.4768 20
613 0  75.3746 20
614 0  75.4246 20
615 0  75.3952 20
