31 0  76.8125 20
32 0  76.952 20
33 0  76.9088 20
34 0  76.945 20
35 0  76.983 20
36 0  77.1867 20
37 0  77.2221 20
38 0  77.2585 20
39 0  77.2966 20
40 0  77.331 20
41 0  77.3655 20
42 0  77.4006 20
43 0  77.4361 20
44 0  77.6268 20
45 0  77.713 20
46 0  77.7539 20
47 0  77.76 20
48 0  77.8189 20
49 0  77.8597 20
50 0  77.8973 20
51 0  77.9348 20
52 0  77.976 20
53 0  78.0098 20
54 0  78.047 20
55 0  78.0855 20
56 0  78.1212 20
57 0  77.962 20
58 0  77.9624 20
59 0  78.0003 20
60 0  78.0377 20
61 0  78.0752 20
62 0  78.2957 20
63 0  77.8621 20
64 0  77.9023 20
65 0  77.9511 20
66 0  77.996 20
67 0  78.0412 20
68 0  78.0868 20
69 0  78.0002 20
70 0  78.0114 20
71 0  78.0226 20
72 0  78.0724 20
73 0  78.2361 20
74 0  78.2798 20
75 0  78.3258 20
76 0  78.3697 20
77 0  78.4123 20
78 0  78.4548 20
79 0  78.9816 20
80 0  79.0345 20
81 0  79.0874 20
82 0  79.1294 20
83 0  79.1825 20
84 0  79.2317 20
85 0  79.2904 20
86 0  79.339 20
87 0  79.8499 20
88 0  79.8999 20
89 0  79.9501 20
90 0  79.9995 20
91 0  80.049 20
92 0  80.0951 20
93 0  80.1445 20
94 0  80.1895 20
95 0  80.2334 20
96 0  80.2746 20
97 0  80.317 20
98 0  80.4402 20
99 0  80.4826 20
100 0  80.4539 20
101 0  80.4253 20
102 0  80.4684 20
103 0  80.5081 20
104 0  80.5484 20
105 0  80.5898 20
106 0  80.7001 20
107 0  80.8875 20
108 0  80.9273 20
109 0  80.7115 20
110 0  80.7631 20
111 0  80.8148 20
112 0  80.8613 20
113 0  80.9091 20
114 0  80.9501 20
115 0  80.9973 20
116 0  81.0423 20
117 0  81.105 20
118 0  81.1548 20
119 0  81.1976 20
120 0  81.2407 20
121 0  81.2839 20
122 0  81.3264 20
123 0  81.3685 20
124 0  81.4895 20
125 0  81.5295 20
126 0  81.583 20
127 0  81.6196 20
128 0  81.6622 20
129 0  81.7031 20
130 0  81.7444 20
131 0  81.7858 20
132 0  81.823 20
133 0  81.8645 20
134 0  81.8132 20
135 0  81.8514 20
136 0  81.8887 20
137 0  81.9266 20
