31 0  80.8999 20
32 0  80.9365 20
33 0  80.9715 20
34 0  81.0093 20
35 0  81.1379 20
36 0  81.5539 20
37 0  81.5895 20
38 0  81.6246 20
39 0  81.6592 20
40 0  81.6929 20
41 0  81.7266 20
42 0  81.7585 20
43 0  81.7918 20
44 0  81.823 20
45 0  81.8126 20
46 0  81.843 20
47 0  81.8108 20
48 0  81.8458 20
49 0  81.8778 20
50 0  81.9081 20
51 0  81.9384 20
52 0  81.969 20
53 0  82.0537 20
54 0  82.2612 20
55 0  81.9185 20
56 0  82.3149 20
57 0  82.3409 20
58 0  82.3661 20
59 0  82.3911 20
60 0  82.4165 20
61 0  82.442 20
62 0  82.3253 20
63 0  82.2142 20
64 0  82.372 20
65 0  82.3958 20
66 0  82.4187 20
67 0  82.4407 20
68 0  82.4616 20
69 0  82.485 20
70 0  82.5045 20
71 0  82.524 20
72 0  82.5434 20
73 0  82.5623 20
74 0  82.5806 20
75 0  82.5972 20
76 0  82.6112 20
77 0  82.6286 20
78 0  82.6888 20
79 0  82.706 20
80 0  82.7205 20
81 0  82.735 20
82 0  82.7488 20
83 0  82.7611 20
84 0  82.4675 20
85 0  82.4829 20
86 0  82.4959 20
87 0  82.399 20
88 0  82.4156 20
89 0  82.4315 20
90 0  82.5876 20
91 0  82.7441 20
92 0  82.7672 20
93 0  82.7827 20
94 0  82.8018 20
95 0  82.6841 20
96 0  82.6997 20
97 0  82.7166 20
98 0  82.4904 20
99 0  82.5133 20
100 0  82.5357 20
101 0  82.5582 20
102 0  82.5814 20
103 0  82.6038 20
104 0  82.6253 20
105 0  82.6455 20
106 0  82.665 20
107 0  82.6841 20
108 0  82.7024 20
109 0  82.715 20
110 0  82.735 20
111 0  82.755 20
112 0  82.7718 20
113 0  82.8364 20
114 0  82.8533 20
115 0  82.8689 20
116 0  82.8853 20
117 0  82.9008 20
118 0  82.916 20
119 0  82.9306 20
120 0  82.9446 20
121 0  82.9587 20
122 0  82.9684 20
123 0  82.9821 20
124 0  82.9921 20
125 0  82.9807 20
126 0  82.7971 20
127 0  82.8072 20
128 0  82.8189 20
129 0  82.8278 20
130 0  82.8377 20
131 0  82.8475 20
132 0  82.8555 20
133 0  82.8648 20
134 0  82.8703 20
135 0  82.8793 20
136 0  82.8344 20
137 0  82.8429 20
138 0  82.8494 20
139 0  82.8576 20
140 0  82.8618 20
141 0  82.8659 20
142 0  82.873 20
143 0  82.8783 20
144 0  82.8834 20
145 0  82.8874 20
146 0  82.8913 20
147 0  82.8952 20
148 0  82.9454 20
149 0  82.6994 20
150 0  82.6984 20
151 0  82.6974 20
152 0  82.6982 20
153 0  82.7009 20
154 0  82.3104 20
155 0  82.2919 20
156 0  82.3009 20
157 0  82.2766 20
158 0  82.2815 20
159 0  82.2579 20
160 0  82.2718 20
161 0  82.2858 20
162 0  82.2838 20
163 0  82.2915 20
164 0  82.746 20
165 0  82.5741 20
166 0  82.6051 20
167 0  82.5968 20
168 0  82.6159 20
169 0  82.6374 20
170 0  82.6548 20
171 0  82.6721 20
172 0  82.6892 20
173 0  82.7053 20
174 0  81.5041 20
175 0  82.5527 20
176 0  82.4136 20
177 0  82.4321 20
178 0  82.5086 20
179 0  82.5189 20
180 0  82.529 20
181 0  82.5392 20
182 0  82.5546 20
183 0  82.5679 20
184 0  82.5737 20
185 0  82.5842 20
186 0  82.5986 20
187 0  82.6107 20
188 0  82.6421 20
189 0  82.6528 20
190 0  82.6631 20
191 0  82.6734 20
192 0  82.6788 20
193 0  82.9178 20
194 0  82.9288 20
195 0  82.9374 20
196 0  82.9436 20
197 0  82.95 20
198 0  82.9697 20
199 0  83.166 20
200 0  83.1925 20
201 0  83.2189 20
202 0  83.0413 20
203 0  83.0466 20
204 0  83.0424 20
205 0  83.047 20
206 0  83.145 20
207 0  83.1521 20
208 0  82.9966 20
209 0  83.0041 20
210 0  83.0075 20
211 0  83.0109 20
212 0  83.0229 20
213 0  83.0291 20
214 0  83.2572 20
215 0  83.2583 20
216 0  83.2778 20
217 0  83.2796 20
218 0  83.2792 20
219 0  83.281 20
220 0  83.3928 20
221 0  83.5047 20
222 0  83.5006 20
223 0  83.4999 20
224 0  83.4983 20
225 0  83.4992 20
226 0  83.4982 20
227 0  83.7053 20
228 0  83.7034 20
229 0  83.7019 20
230 0  83.729 20
231 0  83.7562 20
232 0  83.7939 20
233 0  83.8452 20
234 0  83.8368 20
235 0  83.8413 20
236 0  83.5356 20
237 0  83.5505 20
238 0  83.5817 20
239 0  83.5934 20
240 0  83.5999 20
241 0  83.6064 20
242 0  83.6121 20
243 0  83.6156 20
244 0  83.681 20
245 0  83.6854 20
246 0  83.692 20
247 0  83.6926 20
248 0  83.6834 20
249 0  83.6869 20
250 0  83.6892 20
251 0  83.6916 20
252 0  83.696 20
253 0  83.6993 20
254 0  83.7308 20
255 0  83.7252 20
256 0  83.7257 20
