31 0  76.4167 20
32 0  76.4056 20
33 0  76.3943 20
34 0  76.3798 20
35 0  76.3644 20
36 0  76.354 20
37 0  76.3422 20
38 0  76.3285 20
39 0  76.3147 20
40 0  76.3003 20
41 0  76.2859 20
42 0  76.2709 20
43 0  76.2552 20
44 0  76.2401 20
45 0  76.2236 20
46 0  76.2143 20
47 0  76.1959 20
48 0  76.1769 20
49 0  76.0479 20
50 0  76.029 20
51 0  76.0102 20
52 0  75.9912 20
53 0  75.9711 20
54 0  75.9513 20
55 0  75.8705 20
56 0  75.8522 20
57 0  75.8314 20
58 0  75.8074 20
59 0  75.7862 20
60 0  75.764 20
61 0  75.7417 20
62 0  75.719 20
63 0  75.6149 20
64 0  75.6559 20
65 0  75.6278 20
66 0  75.6071 20
67 0  75.17 20
68 0  74.8407 20
69 0  74.9639 20
70 0  75.0326 20
71 0  75.1015 20
72 0  75.0962 20
73 0  75.0807 20
74 0  75.0655 20
75 0  74.7531 20
76 0  74.7349 20
77 0  74.7104 20
78 0  75.0032 20
79 0  74.9833 20
80 0  74.9616 20
81 0  74.9398 20
82 0  74.9257 20
83 0  74.9062 20
84 0  74.8842 20
85 0  74.6166 20
86 0  74.6035 20
87 0  74.5844 20
88 0  74.5722 20
89 0  74.5526 20
90 0  74.5343 20
91 0  74.5161 20
92 0  74.4838 20
93 0  74.4573 20
94 0  74.4382 20
95 0  74.5235 20
96 0  74.5093 20
97 0  74.478 20
98 0  74.4641 20
99 0  74.4293 20
100 0  74.4066 20
101 0  74.3838 20
102 0  74.3572 20
103 0  74.3359 20
104 0  74.3098 20
105 0  74.2723 20
106 0  74.2359 20
107 0  74.1391 20
108 0  74.1139 20
109 0  73.3598 20
110 0  73.2711 20
111 0  73.1825 20
112 0  73.1944 20
113 0  73.0763 20
114 0  72.7792 20
115 0  73.0356 20
116 0  73.0159 20
117 0  73.0037 20
118 0  73.1009 20
119 0  72.7594 20
120 0  72.7616 20
121 0  72.7638 20
122 0  72.6617 20
123 0  72.6633 20
124 0  72.658 20
125 0  72.6556 20
126 0  72.6583 20
127 0  72.657 20
128 0  72.6519 20
129 0  73.3058 20
130 0  73.313 20
131 0  73.3202 20
132 0  73.3157 20
133 0  73.3203 20
134 0  73.3513 20
135 0  73.3621 20
136 0  73.3602 20
137 0  73.3697 20
138 0  73.3719 20
139 0  73.3745 20
140 0  73.3764 20
141 0  73.3783 20
142 0  73.3883 20
143 0  73.3878 20
144 0  73.3875 20
145 0  73.3874 20
146 0  73.3911 20
147 0  73.3781 20
148 0  73.3876 20
149 0  73.3887 20
150 0  73.3811 20
151 0  73.3735 20
152 0  73.379 20
153 0  73.3494 20
154 0  73.3645 20
155 0  73.3467 20
156 0  73.3354 20
157 0  73.3445 20
158 0  73.3349 20
159 0  73.3261 20
160 0  73.2355 20
161 0  73.145 20
162 0  72.9003 20
163 0  73.1343 20
164 0  72.8491 20
165 0  72.8446 20
166 0  72.8418 20
167 0  73.2269 20
168 0  72.8336 20
169 0  72.8535 20
170 0  73.0252 20
171 0  73.1975 20
172 0  72.4691 20
173 0  73.6667 20
174 0  73.6569 20
175 0  73.2889 20
176 0  73.2953 20
177 0  73.3097 20
178 0  73.3069 20
179 0  72.3669 20
180 0  72.3893 20
181 0  72.4117 20
182 0  72.4301 20
183 0  72.4581 20
184 0  72.3323 20
185 0  72.3493 20
186 0  72.3705 20
187 0  72.3888 20
188 0  72.4047 20
189 0  72.8383 20
190 0  72.8728 20
191 0  72.9073 20
192 0  72.9247 20
193 0  72.9517 20
194 0  72.9767 20
195 0  72.9994 20
196 0  73.0251 20
197 0  73.0488 20
198 0  73.0782 20
199 0  73.0984 20
200 0  72.9879 20
201 0  72.8777 20
202 0  72.9011 20
203 0  72.9014 20
204 0  72.9412 20
205 0  72.9618 20
206 0  72.9807 20
207 0  72.5586 20
208 0  73.0149 20
209 0  73.03 20
210 0  73.0464 20
211 0  73.0629 20
212 0  72.6513 20
213 0  72.6482 20
214 0  72.689 20
215 0  72.7134 20
216 0  72.7372 20
217 0  72.7443 20
218 0  72.7589 20
219 0  72.7693 20
220 0  72.7821 20
221 0  72.795 20
222 0  72.8024 20
223 0  72.8133 20
224 0  72.8194 20
225 0  72.8261 20
226 0  72.8173 20
227 0  72.825 20
228 0  73.7237 20
229 0  73.702 20
230 0  73.7074 20
231 0  73.7129 20
232 0  73.6995 20
233 0  73.7155 20
234 0  73.7093 20
235 0  73.6964 20
236 0  73.7023 20
237 0  73.708 20
238 0  73.7121 20
239 0  73.7085 20
240 0  73.7117 20
241 0  73.7149 20
242 0  73.7194 20
243 0  73.7335 20
244 0  73.7354 20
245 0  73.7341 20
246 0  73.7335 20
247 0  73.7101 20
248 0  73.7153 20
249 0  73.7026 20
250 0  73.6893 20
251 0  73.676 20
252 0  73.6748 20
253 0  73.672 20
254 0  73.676 20
255 0  72.6309 20
256 0  73.5164 20
257 0  72.5613 20
258 0  73.2071 20
259 0  73.7822 20
260 0  73.7831 20
261 0  73.784 20
262 0  73.7897 20
263 0  73.8058 20
264 0  73.8063 20
265 0  73.8026 20
266 0  73.7898 20
267 0  73.792 20
268 0  73.7891 20
269 0  73.788 20
270 0  73.8532 20
271 0  73.9185 20
272 0  73.922 20
273 0  73.9266 20
274 0  73.9338 20
275 0  73.9459 20
276 0  73.9471 20
277 0  73.887 20
278 0  73.8991 20
279 0  73.9065 20
280 0  73.6446 20
281 0  73.384 20
282 0  73.3239 20
283 0  73.3295 20
284 0  73.8427 20
285 0  73.8546 20
286 0  73.8472 20
287 0  73.5387 20
288 0  73.5771 20
