31 0  75.5209 20
32 0  75.51 20
33 0  75.497 20
34 0  75.4838 20
35 0  75.4632 20
36 0  75.4538 20
37 0  75.4556 20
38 0  75.4419 20
39 0  75.3346 20
40 0  75.3209 20
41 0  75.3072 20
42 0  75.2915 20
43 0  75.2782 20
44 0  75.2037 20
45 0  75.1872 20
46 0  75.1722 20
47 0  75.1548 20
48 0  75.1389 20
49 0  75.1206 20
50 0  75.1039 20
51 0  75.0872 20
52 0  75.0701 20
53 0  75.0514 20
54 0  75.0341 20
55 0  74.9529 20
56 0  74.9355 20
57 0  74.9187 20
58 0  74.9039 20
59 0  75.2215 20
60 0  75.2145 20
61 0  75.2076 20
62 0  75.1167 20
63 0  75.1097 20
64 0  75.1041 20
65 0  75.095 20
66 0  75.0863 20
67 0  75.0634 20
68 0  75.0533 20
69 0  75.0539 20
70 0  75.1721 20
71 0  75.2906 20
72 0  75.4349 20
73 0  75.4234 20
74 0  75.4051 20
75 0  75.392 20
76 0  75.3791 20
77 0  75.3664 20
78 0  75.3521 20
79 0  75.34 20
80 0  75.1511 20
81 0  74.9628 20
82 0  75.1319 20
83 0  75.1137 20
84 0  75.0977 20
85 0  75.0818 20
86 0  75.0793 20
87 0  75.062 20
88 0  75.0389 20
89 0  74.9311 20
90 0  74.9158 20
91 0  74.9005 20
92 0  74.8806 20
93 0  74.8634 20
94 0  74.843 20
95 0  74.8248 20
96 0  74.8042 20
97 0  74.783 20
98 0  74.7849 20
99 0  74.7627 20
100 0  74.7384 20
101 0  74.714 20
102 0  74.6697 20
103 0  74.6419 20
104 0  74.6399 20
105 0  74.6196 20
106 0  74.5958 20
107 0  74.5724 20
108 0  74.3884 20
109 0  74.4432 20
110 0  74.414 20
111 0  74.3848 20
112 0  74.4406 20
113 0  74.321 20
114 0  74.3787 20
115 0  74.2614 20
116 0  74.227 20
117 0  74.1973 20
118 0  73.8544 20
119 0  73.8329 20
120 0  73.8129 20
121 0  73.7929 20
122 0  73.7751 20
123 0  73.755 20
124 0  73.6781 20
125 0  73.6613 20
126 0  73.4771 20
127 0  73.4613 20
128 0  73.4403 20
129 0  73.4233 20
130 0  73.4038 20
131 0  73.3844 20
132 0  73.1536 20
133 0  73.0394 20
134 0  73.0153 20
135 0  72.7729 20
136 0  73.2803 20
137 0  73.259 20
138 0  73.2355 20
139 0  73.214 20
140 0  73.1893 20
141 0  73.1645 20
142 0  73.138 20
143 0  73.1128 20
144 0  72.3564 20
145 0  72.3383 20
146 0  72.3267 20
147 0  72.3104 20
148 0  72.1021 20
149 0  71.8622 20
150 0  72.0081 20
151 0  72.1545 20
152 0  72.1225 20
153 0  72.1075 20
154 0  72.0902 20
155 0  72.0741 20
156 0  71.7036 20
157 0  71.8953 20
158 0  72.0158 20
159 0  72.0009 20
160 0  71.7708 20
161 0  71.5419 20
162 0  71.5319 20
163 0  71.52 20
164 0  71.4025 20
165 0  71.3982 20
166 0  71.3874 20
167 0  71.3807 20
168 0  71.3745 20
169 0  71.9772 20
170 0  71.9788 20
171 0  71.9804 20
172 0  71.9814 20
173 0  71.9604 20
174 0  71.9553 20
175 0  71.9712 20
176 0  71.9715 20
177 0  71.9688 20
178 0  71.9654 20
179 0  71.9615 20
180 0  71.9451 20
181 0  71.9287 20
182 0  71.949 20
183 0  71.944 20
184 0  71.9358 20
185 0  71.9234 20
186 0  71.9212 20
187 0  71.9151 20
188 0  71.9112 20
189 0  71.9017 20
190 0  71.8908 20
191 0  71.8798 20
192 0  71.8686 20
193 0  71.8609 20
194 0  71.8451 20
195 0  71.8297 20
196 0  71.8151 20
197 0  71.8045 20
198 0  71.7933 20
199 0  71.7763 20
200 0  71.7592 20
201 0  71.7421 20
202 0  71.4994 20
203 0  70.9454 20
204 0  70.6431 20
205 0  70.6328 20
206 0  70.7888 20
207 0  70.7911 20
208 0  70.7956 20
209 0  70.7878 20
210 0  70.7696 20
211 0  70.7514 20
212 0  70.7728 20
213 0  71.0701 20
214 0  71.0645 20
215 0  71.0742 20
216 0  71.0739 20
217 0  71.0582 20
218 0  71.0551 20
219 0  71.0553 20
220 0  70.5287 20
221 0  70.0079 20
222 0  70.018 20
223 0  70.0385 20
224 0  70.0565 20
225 0  69.6214 20
226 0  69.636 20
227 0  69.6607 20
228 0  69.6759 20
229 0  69.6905 20
230 0  69.704 20
231 0  69.7176 20
232 0  69.7221 20
233 0  69.7415 20
234 0  69.7856 20
235 0  69.7934 20
236 0  69.8044 20
237 0  70.2252 20
238 0  70.2344 20
239 0  70.2674 20
240 0  70.2802 20
241 0  70.2929 20
242 0  70.3043 20
243 0  70.3187 20
244 0  70.3319 20
245 0  70.8566 20
246 0  70.834 20
247 0  70.8879 20
248 0  70.8927 20
249 0  70.4765 20
250 0  70.4884 20
251 0  70.5004 20
252 0  70.9496 20
253 0  70.9613 20
254 0  70.3811 20
255 0  70.3919 20
256 0  70.4014 20
257 0  70.4089 20
258 0  70.4149 20
259 0  70.4276 20
260 0  70.4295 20
261 0  70.4315 20
262 0  70.4434 20
263 0  70.4503 20
264 0  70.4155 20
265 0  70.5758 20
266 0  70.5623 20
267 0  70.5644 20
268 0  70.5656 20
