31 0  78.0383 20
32 0  77.927 20
33 0  77.9215 20
34 0  77.8175 20
35 0  77.9149 20
36 0  77.9096 20
37 0  77.9047 20
38 0  77.8987 20
39 0  77.8933 20
40 0  77.8661 20
41 0  77.8388 20
42 0  77.9423 20
43 0  77.9389 20
44 0  77.9332 20
45 0  77.9269 20
46 0  77.9212 20
47 0  77.914 20
48 0  77.904 20
49 0  77.8906 20
50 0  77.8808 20
51 0  77.8711 20
52 0  77.8691 20
53 0  77.8611 20
54 0  77.8514 20
55 0  77.8408 20
56 0  77.8314 20
57 0  77.643 20
58 0  77.7356 20
59 0  77.6222 20
60 0  77.6624 20
61 0  77.7026 20
62 0  77.6865 20
63 0  77.6738 20
64 0  77.6614 20
65 0  77.6593 20
66 0  77.6474 20
67 0  77.6328 20
68 0  77.6235 20
69 0  77.6089 20
70 0  77.5454 20
71 0  77.4818 20
72 0  77.4703 20
73 0  77.4582 20
74 0  77.2705 20
75 0  77.4243 20
76 0  77.4078 20
77 0  77.393 20
78 0  77.8964 20
79 0  77.8928 20
80 0  77.9161 20
81 0  77.9393 20
82 0  77.934 20
83 0  77.9298 20
84 0  77.9238 20
85 0  77.8257 20
86 0  77.7514 20
87 0  77.5515 20
88 0  77.686 20
89 0  77.6815 20
90 0  77.7589 20
91 0  77.8365 20
92 0  77.6504 20
93 0  77.8298 20
94 0  77.8247 20
95 0  77.8194 20
96 0  77.8136 20
97 0  77.8102 20
98 0  77.7941 20
99 0  77.6816 20
100 0  77.6755 20
101 0  77.6695 20
102 0  77.6624 20
103 0  77.6559 20
104 0  77.6502 20
105 0  77.4963 20
106 0  77.4308 20
107 0  77.4285 20
108 0  77.6091 20
109 0  77.3997 20
110 0  77.485 20
111 0  77.5705 20
112 0  77.579 20
113 0  77.9407 20
114 0  77.9434 20
115 0  77.7419 20
116 0  77.7442 20
117 0  77.3202 20
118 0  77.7415 20
119 0  77.7399 20
120 0  77.738 20
121 0  77.7362 20
122 0  77.7313 20
123 0  77.5959 20
124 0  77.6659 20
125 0  77.6616 20
126 0  77.6636 20
127 0  77.6596 20
128 0  77.7788 20
129 0  77.7726 20
130 0  77.7701 20
131 0  77.7676 20
132 0  77.6664 20
133 0  77.7619 20
134 0  77.7546 20
135 0  77.7517 20
136 0  77.8608 20
137 0  77.8644 20
138 0  77.8611 20
139 0  77.9736 20
140 0  77.9704 20
141 0  77.9671 20
142 0  77.9628 20
143 0  77.9603 20
144 0  77.9558 20
145 0  78.2848 20
146 0  78.289 20
147 0  78.2909 20
148 0  78.1622 20
149 0  78.1611 20
150 0  77.9687 20
151 0  77.777 20
152 0  77.7679 20
153 0  77.7502 20
154 0  77.7444 20
155 0  78.1555 20
156 0  78.1564 20
157 0  78.1555 20
158 0  78.1543 20
159 0  78.1534 20
160 0  78.1423 20
161 0  78.1312 20
162 0  78.1295 20
163 0  77.9714 20
164 0  78.1194 20
165 0  78.1153 20
166 0  77.9516 20
167 0  78.104 20
168 0  78.0974 20
169 0  78.09 20
170 0  78.0807 20
171 0  78.0714 20
172 0  78.0621 20
173 0  78.0545 20
174 0  77.8864 20
175 0  77.8776 20
176 0  77.8758 20
177 0  77.3214 20
178 0  77.3176 20
179 0  77.3103 20
180 0  77.302 20
181 0  77.2937 20
182 0  77.0684 20
183 0  77.2706 20
184 0  77.2719 20
185 0  77.2642 20
186 0  76.9953 20
187 0  76.7574 20
188 0  76.97 20
189 0  76.9692 20
190 0  76.9596 20
191 0  76.95 20
192 0  76.9363 20
193 0  76.6189 20
194 0  76.6173 20
195 0  76.6137 20
196 0  76.6147 20
197 0  76.6107 20
198 0  76.9688 20
199 0  76.9787 20
200 0  76.9649 20
201 0  76.9511 20
202 0  77.0024 20
203 0  76.9988 20
