31 0  73.1002 19
32 0  73.2599 19
33 0  73.3759 19
34 0  73.3881 19
35 0  73.4211 19
36 0  73.4225 19
37 0  73.4384 19
38 0  73.4483 19
39 0  73.418 19
40 0  73.4299 19
41 0  73.4417 19
42 0  73.469 19
43 0  73.4774 19
44 0  73.4951 19
45 0  73.527 19
46 0  73.5275 19
47 0  73.4069 19
48 0  73.4152 19
49 0  73.5508 19
50 0  73.5383 19
51 0  73.5258 19
52 0  73.5542 19
53 0  73.5701 19
54 0  73.4673 19
55 0  73.5605 19
56 0  73.5642 19
57 0  73.3201 19
58 0  73.5653 19
59 0  73.5735 19
60 0  73.6409 19
61 0  73.7083 19
62 0  73.7171 19
63 0  73.7177 19
64 0  73.7182 19
65 0  73.7486 19
66 0  73.7699 19
67 0  73.7649 19
68 0  73.7681 19
69 0  73.4791 19
70 0  73.2882 19
71 0  73.0981 19
72 0  73.5137 19
73 0  73.5108 19
74 0  73.4751 19
75 0  73.4845 19
76 0  73.731 19
77 0  73.7382 19
78 0  73.5974 19
79 0  73.6177 19
80 0  73.6864 19
81 0  73.7552 19
82 0  73.7679 19
83 0  73.7403 19
84 0  73.7425 19
85 0  73.7463 19
86 0  73.7766 19
87 0  73.7958 19
88 0  73.8139 19
89 0  73.8185 19
90 0  73.7565 19
91 0  73.6946 19
92 0  73.8369 19
93 0  73.8892 19
94 0  73.9032 19
95 0  73.9173 19
96 0  73.9269 19
97 0  73.7994 19
98 0  73.9283 19
99 0  73.928 19
100 0  73.9006 19
101 0  73.8731 19
102 0  73.8807 19
103 0  74.0768 19
104 0  74.0818 19
105 0  73.942 19
106 0  74.0889 19
107 0  74.1051 19
108 0  74.1143 19
109 0  74.1184 19
110 0  74.0371 19
111 0  73.9559 19
112 0  74.0758 19
113 0  74.0743 19
114 0  74.0967 19
115 0  74.0771 19
116 0  74.1031 19
117 0  73.9152 19
118 0  73.9797 19
119 0  74.1387 19
120 0  74.1398 19
121 0  74.1409 19
122 0  74.1357 19
123 0  74.1334 19
124 0  74.1346 19
125 0  74.0789 19
126 0  74.0924 19
127 0  74.0905 19
128 0  74.086 19
129 0  74.0356 19
130 0  74.0243 19
131 0  74.0129 19
132 0  74.0403 19
133 0  74.0903 19
134 0  74.1033 19
135 0  74.097 19
136 0  74.1141 19
137 0  74.052 19
138 0  74.0451 19
139 0  74.0473 19
140 0  74.0666 19
141 0  74.0858 19
142 0  74.0467 19
143 0  73.9813 19
144 0  74.026 19
145 0  74.0526 19
