265 -3.41347  1220.48 20
266 -3.2061  1218.07 20
267 -2.53943  1215.34 20
268 3.27949  1211.34 20
269 -2.63421  1220.14 20
270 2.81258  1203.03 20
271 2.73756  1204.56 20
272 -3.07774  1205.17 20
273 2.331  1203.3 20
274 -3.72449  1187.65 20
275 -3.08745  1189.01 20
276 4.17704  1181.46 20
277 3.30815  1181.26 20
278 -2.95289  1168.39 20
279 3.02236  1138.19 20
280 -2.85685  1143.82 20
281 2.72369  1137.25 20
282 4.3556  1124.82 20
283 -3.38092  1143.35 20
284 3.08715  1154.54 20
285 -3.06137  1149.53 20
286 3.4674  1142.84 20
287 3.21755  1140.33 20
288 -3.09851  1156.84 20
289 -3.05744  1146.83 20
290 2.34384  1154.33 20
291 2.63019  1160.85 20
292 -2.39887  1167.2 20
293 -2.44111  1162.95 20
294 -2.57389  1157.21 20
295 -2.92183  1166.28 20
296 4.14727  1144.42 20
297 -3.12379  1143.58 20
298 3.23211  1143.05 20
299 -2.70711  1138.66 20
300 3.63247  1145.02 20
301 -2.75194  1153.96 20
302 -2.68675  1163.81 20
303 3.65818  1165.73 20
304 -3.71428  1164.41 20
305 3.40858  1179.67 20
306 3.39995  1167.53 20
307 -3.29225  1177.69 20
308 -2.60932  1185.91 20
309 -3.07398  1188.49 20
310 -2.72623  1193.44 20
311 3.21619  1176.46 20
312 -2.46601  1185.56 20
313 2.82309  1193.55 20
314 -2.87603  1192.84 20
315 -2.76059  1199.43 20
316 -2.72399  1181.45 20
317 -3.34192  1169.99 20
318 3.94361  1165.51 20
319 -2.70744  1176.75 20
320 -2.88875  1172.55 20
321 -2.27824  1173.34 20
322 2.69843  1171.92 20
323 -2.75432  1175.39 20
324 2.86685  1178.19 20
325 2.97042  1191.82 20
326 -3.26792  1198.19 20
327 3.08271  1198.64 20
328 -3.43565  1201.25 20
329 3.49187  1201.34 20
330 -3.52829  1192.32 20
331 3.08294  1189.53 20
332 3.01942  1172.97 20
333 2.58934  1181.89 20
334 -3.08308  1189.61 20
335 2.9585  1186.81 20
336 -3.4868  1180.17 20
337 -2.88562  1197.38 20
338 3.98751  1192.98 20
339 3.71316  1196.35 20
340 -2.74569  1237.04 20
341 2.98049  1233.75 20
342 -3.46689  1233.09 20
343 3.50238  1225.96 20
344 3.13012  1207.49 20
345 3.46644  1197.07 20
346 -3.67702  1192.77 20
347 -2.96227  1201.62 20
348 3.58213  1200.64 20
349 3.23953  1189.86 20
350 -3.0814  1193.77 20
351 -3.27805  1194.2 20
352 2.40457  1205.36 20
353 2.91693  1195.67 20
354 -2.98001  1203.11 20
355 -3.03205  1194.41 20
356 3.33894  1167.76 20
357 -2.40349  1174.07 20
358 -3.12683  1174.02 20
359 -2.4943  1177.67 20
360 3.01139  1182.82 20
361 -2.68106  1178.51 20
362 2.95578  1173.82 20
363 -2.3835  1186.99 20
364 -3.68251  1177.02 20
365 -2.84116  1186.42 20
366 3.42444  1183.14 20
367 -3.57766  1180.35 20
368 3.56064  1169.19 20
369 -3.3651  1170.49 20
370 -2.8088  1168 20
371 -2.31152  1163.44 20
372 -2.87281  1165.59 20
373 -2.36826  1171.36 20
374 3.06844  1163.09 20
375 -3.35237  1151.49 20
376 -2.77239  1134.81 20
377 3.98998  1127.19 20
378 -3.34728  1143.38 20
379 3.99413  1153.2 20
380 -2.85733  1150.35 20
381 -2.93923  1139.97 20
382 4.12093  1129.95 20
383 -2.90173  1126.89 20
384 -2.33101  1138.54 20
385 -2.86588  1126.85 20
386 2.68287  1123.52 20
387 -2.86339  1114.87 20
388 -2.81074  1119.39 20
389 -2.99169  1111.25 20
390 2.94248  1132.43 20
391 -2.54093  1140.02 20
392 -3.06844  1142.97 20
393 -3.41672  1136.39 20
394 2.44342  1144.69 20
395 2.39998  1126.77 20
396 -2.42042  1121.43 20
397 3.25139  1112.39 20
398 2.65134  1096.76 20
399 -3.02951  1085.36 20
400 -2.63724  1085.79 20
401 -2.72669  1052.45 20
402 3.07628  1055.25 20
403 2.23065  1048.76 20
404 -2.89584  1048.5 20
405 3.28947  1040.67 20
