31 0  77.0669 20
32 0  77.1228 20
33 0  77.1759 20
34 0  77.2282 20
35 0  77.2784 20
36 0  77.3279 20
37 0  77.5178 20
38 0  77.9967 20
39 0  78.044 20
40 0  78.0969 20
41 0  78.1497 20
42 0  78.2087 20
43 0  78.2622 20
44 0  78.3096 20
45 0  78.3579 20
46 0  78.399 20
47 0  78.4449 20
48 0  78.4897 20
49 0  78.5209 20
50 0  78.5642 20
51 0  78.6077 20
52 0  78.6536 20
53 0  78.692 20
54 0  78.7317 20
55 0  78.5823 20
56 0  78.622 20
57 0  78.4055 20
58 0  78.7745 20
59 0  78.8228 20
60 0  78.8528 20
61 0  78.8828 20
62 0  78.9315 20
63 0  78.9751 20
64 0  79.0221 20
65 0  79.0663 20
66 0  79.1086 20
67 0  79.1527 20
68 0  79.2016 20
69 0  79.2443 20
70 0  79.2876 20
71 0  79.331 20
72 0  79.3699 20
73 0  79.4103 20
74 0  79.5239 20
75 0  79.5674 20
76 0  79.7209 20
77 0  79.7613 20
78 0  79.8046 20
79 0  79.8464 20
80 0  79.8871 20
81 0  79.9279 20
82 0  79.9711 20
83 0  80.0126 20
84 0  80.0526 20
85 0  80.0928 20
86 0  80.1325 20
87 0  80.1781 20
88 0  80.1553 20
89 0  80.1945 20
90 0  80.2331 20
91 0  80.2718 20
92 0  80.3097 20
93 0  80.3456 20
94 0  80.3816 20
95 0  80.4176 20
96 0  80.4544 20
97 0  80.491 20
98 0  80.5272 20
99 0  80.562 20
100 0  80.5964 20
101 0  80.6309 20
102 0  80.666 20
103 0  80.6985 20
104 0  80.5134 20
105 0  80.4736 20
106 0  80.5402 20
107 0  80.5782 20
108 0  80.6127 20
109 0  80.648 20
110 0  80.8688 20
111 0  81.0905 20
112 0  81.1266 20
113 0  81.1617 20
114 0  81.1957 20
115 0  81.2258 20
116 0  81.2613 20
117 0  81.302 20
118 0  81.3336 20
119 0  81.3653 20
120 0  81.3964 20
121 0  81.4276 20
122 0  81.4576 20
123 0  81.4864 20
124 0  81.5154 20
125 0  81.5431 20
126 0  81.5711 20
127 0  81.5986 20
128 0  81.6257 20
129 0  81.6522 20
130 0  81.678 20
131 0  81.7037 20
132 0  81.7281 20
133 0  81.7521 20
134 0  81.7754 20
135 0  81.797 20
136 0  81.8203 20
137 0  81.8432 20
138 0  81.8659 20
139 0  81.8884 20
140 0  81.9113 20
141 0  81.9342 20
142 0  81.9563 20
143 0  81.9757 20
144 0  81.8856 20
145 0  81.9037 20
146 0  81.9176 20
147 0  81.9402 20
148 0  81.958 20
149 0  82.0435 20
150 0  82.1966 20
151 0  82.3502 20
152 0  82.367 20
153 0  82.3824 20
154 0  82.3962 20
155 0  82.41 20
156 0  82.4232 20
157 0  82.4352 20
158 0  82.3622 20
159 0  82.3752 20
160 0  82.3302 20
161 0  82.2852 20
162 0  82.3035 20
163 0  82.319 20
164 0  82.3328 20
165 0  82.6274 20
166 0  82.6494 20
167 0  82.6737 20
168 0  82.6955 20
169 0  82.7195 20
170 0  82.7343 20
171 0  82.7491 20
172 0  82.4589 20
173 0  82.4882 20
174 0  82.5745 20
175 0  82.5971 20
176 0  82.6183 20
177 0  82.6389 20
178 0  82.6542 20
179 0  82.6807 20
180 0  82.7006 20
181 0  82.7206 20
182 0  82.7393 20
183 0  82.7573 20
184 0  82.7748 20
185 0  82.7921 20
186 0  82.8091 20
187 0  82.8252 20
188 0  82.8408 20
189 0  82.856 20
190 0  82.893 20
191 0  82.9301 20
192 0  82.945 20
193 0  82.9587 20
194 0  82.9724 20
195 0  82.9852 20
196 0  82.9976 20
197 0  83.0111 20
198 0  83.0734 20
199 0  83.0839 20
200 0  83.0942 20
201 0  83.1046 20
202 0  83.1135 20
203 0  83.1189 20
