31 0  86.9207 20
32 0  86.9247 20
33 0  86.929 20
34 0  86.9273 20
35 0  86.9304 20
36 0  86.9308 20
37 0  86.9352 20
38 0  86.9344 20
39 0  86.9343 20
40 0  86.9333 20
41 0  86.9323 20
42 0  86.9287 20
43 0  86.6914 20
44 0  86.6869 20
45 0  86.6888 20
46 0  86.6793 20
47 0  86.6788 20
48 0  86.6723 20
49 0  86.668 20
50 0  86.6753 20
51 0  86.6826 20
52 0  86.457 20
53 0  86.4586 20
54 0  86.455 20
55 0  86.4537 20
56 0  86.4911 20
57 0  86.4906 20
58 0  86.4872 20
59 0  86.4814 20
60 0  86.479 20
61 0  86.4765 20
62 0  86.4675 20
63 0  86.4631 20
64 0  86.4568 20
65 0  86.4475 20
66 0  86.4433 20
67 0  86.4336 20
68 0  86.4239 20
69 0  86.4113 20
70 0  86.4012 20
71 0  86.3911 20
72 0  86.3795 20
73 0  86.3616 20
74 0  86.3523 20
75 0  86.3372 20
76 0  86.323 20
77 0  86.3164 20
78 0  86.3011 20
79 0  86.2846 20
80 0  86.2891 20
81 0  86.2935 20
82 0  86.2723 20
83 0  86.2576 20
84 0  86.2416 20
85 0  86.2236 20
86 0  86.2043 20
87 0  86.1853 20
88 0  86.165 20
89 0  86.1438 20
90 0  86.1214 20
91 0  86.0989 20
92 0  86.075 20
93 0  86.0731 20
94 0  86.0491 20
95 0  86.0247 20
96 0  85.9804 20
97 0  85.9531 20
98 0  85.9447 20
99 0  85.9174 20
100 0  85.8895 20
101 0  85.8617 20
102 0  85.8331 20
103 0  85.8005 20
104 0  85.8189 20
105 0  85.7888 20
106 0  85.7614 20
107 0  85.1408 20
108 0  85.1169 20
109 0  85.0847 20
110 0  85.0577 20
111 0  85.0308 20
112 0  85.0029 20
113 0  84.9745 20
114 0  84.9543 20
115 0  84.9243 20
116 0  84.8933 20
117 0  84.8606 20
118 0  84.8287 20
119 0  84.7956 20
120 0  84.7495 20
121 0  84.7034 20
122 0  84.6703 20
123 0  84.6351 20
124 0  84.5973 20
125 0  84.5583 20
126 0  84.5187 20
127 0  84.4832 20
128 0  84.4661 20
129 0  83.8028 20
130 0  83.7732 20
131 0  83.7437 20
132 0  83.7206 20
133 0  84.3998 20
134 0  84.3875 20
135 0  84.9773 20
136 0  84.9698 20
137 0  84.9571 20
138 0  84.945 20
139 0  84.9389 20
140 0  84.9267 20
141 0  84.9146 20
142 0  84.9057 20
143 0  84.8886 20
144 0  84.9089 20
145 0  84.8863 20
146 0  84.8655 20
147 0  84.3849 20
148 0  84.3811 20
149 0  84.3578 20
150 0  84.3493 20
151 0  84.3408 20
152 0  84.3298 20
153 0  84.3189 20
154 0  83.7176 20
155 0  83.7255 20
156 0  83.8067 20
157 0  83.8046 20
158 0  83.8079 20
159 0  83.812 20
160 0  83.8131 20
161 0  83.8143 20
162 0  83.8132 20
163 0  83.8162 20
164 0  83.8131 20
165 0  83.8182 20
166 0  83.8181 20
167 0  83.8284 20
168 0  83.8171 20
169 0  83.8156 20
170 0  83.8104 20
171 0  83.8052 20
172 0  83.8021 20
173 0  83.8044 20
174 0  83.7991 20
175 0  83.7873 20
176 0  83.8004 20
177 0  83.8028 20
178 0  83.7971 20
179 0  83.7912 20
180 0  83.7798 20
181 0  83.7685 20
182 0  83.7613 20
183 0  83.7667 20
184 0  83.8473 20
185 0  83.8437 20
186 0  83.8424 20
187 0  83.8331 20
188 0  83.8277 20
189 0  83.8241 20
190 0  83.8125 20
191 0  83.801 20
192 0  83.7919 20
193 0  83.7814 20
194 0  83.7427 20
195 0  83.7233 20
196 0  83.7192 20
197 0  83.7029 20
198 0  83.7028 20
199 0  83.6944 20
200 0  83.6984 20
201 0  83.7023 20
202 0  83.6978 20
203 0  83.6888 20
204 0  83.683 20
205 0  83.6706 20
206 0  83.6577 20
207 0  83.6425 20
208 0  83.6421 20
209 0  83.6316 20
210 0  83.6173 20
211 0  83.603 20
212 0  84.013 20
213 0  84.0076 20
214 0  84.0047 20
215 0  83.9979 20
216 0  83.9966 20
217 0  83.9927 20
218 0  83.9922 20
219 0  83.9863 20
220 0  83.9776 20
221 0  83.9689 20
222 0  83.9615 20
223 0  83.951 20
224 0  83.9389 20
225 0  83.9274 20
226 0  83.9201 20
227 0  83.8838 20
228 0  83.9084 20
229 0  83.8942 20
230 0  83.9008 20
231 0  83.9075 20
232 0  83.9028 20
233 0  83.8819 20
234 0  83.8785 20
235 0  83.8633 20
236 0  83.8532 20
237 0  83.844 20
238 0  83.8223 20
239 0  84.128 20
240 0  84.1225 20
241 0  84.1169 20
242 0  84.1164 20
243 0  84.111 20
244 0  84.105 20
245 0  84.0957 20
246 0  84.1008 20
247 0  84.1059 20
248 0  84.0979 20
249 0  84.0929 20
250 0  84.0838 20
251 0  84.0748 20
252 0  84.0651 20
253 0  84.0548 20
254 0  84.0411 20
